G - Butterfly
G-Unit - Wanna Get to Know You [w/Joe]
G-Unit - Stunt 101
Gabe Dixon Band, The - Five More Hours
Gracin, Josh - We Weren't Crazy
Gracin, Josh - Stay with Me (Brass Bed)
Gracin, Josh - Nothin' to Lose
Gracin, Josh - I Want to Live
Gracin, Josh - Favorite State of Mind
Gracin, Josh - I Keep Coming Back
Graham, Larry - One in a Million
Graham, Larry - Sooner or Later
Graham, Tammy - Cool Water
Graham, Tammy - Dozen Red Roses, A
Graham, Tammy - Tell Me Again
Gramm, Lou - Midnight Blue
Gramm, Lou - Just Between You and Me
Grammer, Andy - Fine By Me
Grammer, Andy - Keep Your Head Up
Grand Funk Railroad, The - We're an American Band
Grand Funk Railroad, The - Some Kind of Wonderful
Grand Funk Railroad, The - Mean Mistreater
Grand Funk Railroad, The - Locomotion, The
Grand Funk Railroad, The - I'm Your Captain (Closer to Home)
Grand Funk Railroad, The - Bad Time
Grand Funk Railroad, The - Closer to Home
Grand Funk Railroad, The - Footstompin' Music
Grand Funk Railroad, The - Heartbreaker
Grand, Gil - Famous First Words
Grand, Gil - I Already Fell
Grand, Gil - Let's Start Livin'
Grandad Roberts & His Son Elvis - Meat Pie, Sausage Roll (Come on England, Gi's a Goal)
Grande, Ariana - Way, The [w/Mac Miller]
Grandmaster Flash - White Lines (Don't Don't Do It) [w/Melle Mel]
Grandmaster Flash - Message, The
Grant, Amy - Love Can Do
Grant, Amy - Lucky One
Grant, Amy - Next Time I Fall, The [w/Peter Cetera]
Grant, Amy - Sing Your Praise to the Lord
Grant, Amy - Stay for Awhile
Grant, Amy - Takes a Little Time
Grant, Amy - That's What Love Is For
Grant, Amy - Things We Do for Love, The
Grant, Amy - Thy Word
Grant, Amy - Too Late
Grant, Amy - True Love [w/Vince Gill]
Grant, Amy - We Believe in God
Grant, Amy - Where Do You Hide Your Heart
Grant, Amy - Like I Love You
Grant, Amy - In a Little While
Grant, Amy - All I Ever Have to Be
Grant, Amy - Believe
Grant, Amy - Big Yellow Taxi
Grant, Amy - Emmanuel
Grant, Amy - Every Heartbeat
Grant, Amy - Everywhere I Go
Grant, Amy - Father's Eyes
Grant, Amy - Find a Way
Grant, Amy - I'm Gonna Fly
Grant, Amy - Baby Baby
Grant, Amy - I Will Remember You
Grant, Amy - I Will Be Your Friend
Grant, Amy - I Have Decided
Grant, Amy - Good for Me
Grant, Amy - House of Love [w/Vince Gill]
Grant, Eddy - I Don't Wanna Dance
Grant, Eddy - Gimme Hope Jo'anna
Grant, Eddy - Electric Avenue
Grant, Eddy - Do You Feel My Love
Grant, Eddy - Electric Avenue (remix)
Grant, Gogi - Wayward Wind, The
Grant, Natalie - In Better Hands
Grascals, The - Viva Las Vegas [w/Dolly Parton]
Grass Construction - Movin' On
Grass Roots, The - Let's Live for Today
Grass Roots, The - Heaven Knows
Grass Roots, The - Wait a Million Years
Grass Roots, The - Viva Las Vegas [w/The Grascals]
Grass Roots, The - Two Divided By Love
Grass Roots, The - Temptation Eyes
Grass Roots, The - Sooner or Later
Grass Roots, The - Midnight Confessions
Grateful Dead, The - Ripple
Grateful Dead, The - Uncle John's Band
Grateful Dead, The - Truckin'
Grateful Dead, The - Touch of Grey
Grateful Dead, The - Friend of the Devil
Grateful Dead, The - Casey Jones
Gravity Kills - One Thing
Gray, David - You're the World to Me
Gray, David - This Year's Love
Gray, David - Say Hello, Wave Goodbye
Gray, David - Sail Away
Gray, David - Please Forgive Me
Gray, David - Other Side, The
Gray, David - Alibi
Gray, David - Babylon
Gray, David - Be Mine
Gray, David - One I Love, The
Gray, David - Hospital Food
Gray, Dobie - Drift Away
Gray, Dobie - In Crowd, The
Gray, Dobie - Drift Away [w/Uncle Kracker]
Gray, Joel - Money Makes the World Go 'Round
Gray, Macy - Sexual Revolution
Gray, Macy - Why Didn't You Call Me
Gray, Macy - When I See You
Gray, Macy - Sweet Baby
Gray, Macy - Still
Gray, Macy - Request Line [w/Black Eyed Peas]
Gray, Macy - Amor
Gray, Macy - Cell Block Tango (He Had It Comin') [w/Queen Latifah & Lil Kim]
Gray, Macy - Do Something
Gray, Macy - I Try
Gray, Macy - Related to a Psychopath
Gray, Macy - Oblivion
Gray, Mark - Sometimes When We Touch [w/Tammy Wynette]
Gray, Tamyra - You Thought Wrong [w/Kelly Clarkson]
Gray, Tamyra - Raindrops Will Fall
Grease - Rock n' Roll Party Queen [Louis St. Louis]
Grease - Sandy
Grease - Summer Nights
Grease - Tears on My Pillow [Sha-Na-Na]
Grease - There Are Worse Things I Could Do
Grease - Those Magic Changes [Sha-Na-Na]
Grease - We Go Together
Grease - You're the One That I Want
Grease - Rock n' Roll Is Here to Stay [Sha-Na-Na]
Grease - Mooning
Grease - Look at Me, I'm Sandra Dee (reprise)
Grease - Blue Moon [Sha-Na-Na]
Grease - Beauty School Dropout
Grease - Born to Hand Jive [Sha-Na-Na]
Grease - Freddy My Love
Grease - Grease (Is the Word) [Frankie Valli]
Grease - Greased Lightning (clean version)
Grease - Hopelessly Devoted to You
Grease - Hound Dog [Sha-Na-Na]
Grease - Look at Me, I'm Sandra Dee
Grease - It's Raining on Prom Night
Great Divide - San Isabella
Great Divide - Pour Me a Vacation
Great Divide - Lost in the Night
Great Plains - Dancin' with the Wind
Great Plains - Healin' Hands
Great White - Save Your Love
Great White - Rollin' Stoned
Great White - Rock Me
Great White - Once Bitten Twice Shy
Greaves, R.B. - Take a Letter, Maria
Green Day - Saints Are Coming, The [w/U2]
Green Day - Time of Your Life (Good Riddance)
Green Day - Tired of Waiting [Kinks cover]
Green Day - Waiting
Green Day - Wake Me Up When September Ends
Green Day - Walking Contradiction
Green Day - Warning
Green Day - When I Come Around
Green Day - Working Class Hero
Green Day - Oh Love
Green Day - Minority
Green Day - 21st Century Breakdown
Green Day - American Idiot
Green Day - Basket Case
Green Day - Boulevard of Broken Dreams
Green Day - Brain Stew
Green Day - Holiday
Green Day - I Fought the Law
Green Day - Jesus of Suburbia
Green Day - Know Your Enemy
Green Day - Longview
Green Day - 21 Guns
Green Jell - Three Little Pigs
Green River Ordinance - Come On
Green, Al - Your Heart's in Good Hands
Green, Al - You Ought to Be with Me
Green, Al - Tired of Being Alone
Green, Al - Still in Love with You
Green, Al - Put It on Paper [w/Ann Nesby]
Green, Al - Put a Little Love in Your Heart [w/Annie Lennox]
Green, Al - Let's Stay Together
Green, Al - For the Good Times
Green, Al - Don't Say No Tonight
Green, Al - Full of Fire
Green, Al - Funny How Time Slips Away [w/Lyle Lovett]
Green, Al - Here I Am (Come and Take Me)
Green, Al - How Can You Mend a Broken Heart
Green, Al - I Had a Dream
Green, Cee Lo - Sugar (Gimme Some) [w/Trick Daddy & Ludacris]
Green, Cee Lo - Lil' Star [w/Kelis]
Green, Cee Lo - Letter to My Son [w/Don Trip]
Green, Cee Lo - It's OK
Green, Cee Lo - In Da Wind [w/Trick Daddy & Big Boi]
Green, Cee Lo - I Want You (Hold on to Love)
Green, Cee Lo - Forget You
Green, Cee Lo - Come Along [w/Vicci Martinez]
Green, Cee Lo - Closet Freak
Green, Cee Lo - Be By Myself [w/Asher Roth]
Green, Cee Lo - Anyway 
Green, Pat - Texas on My Mind [w/Cory Morrow]
Green, Pat - Three Days
Green, Pat - Wave on Wave
Green, Pat - Way Back Texas
Green, Pat - What I'm For
Green, Pat - Texas in 1880 [w/Radney Foster]
Green, Pat - Somewhere Between Texas and Mexico
Green, Pat - Let Me
Green, Pat - Carry On
Green, Pat - Baby Doll
Green, Pat - Country Star
Green, Pat - Dixie Lullaby
Green, Pat - Don't Break My Heart Again
Green, Pat - Guy Like Me, A
Green, Pat - Feels Just Like It Should
Green, Vivian - What Is Love
Green, Vivian - Gotta Go Gotta Leave (Tired)
Green, Vivian - Fanatic
Green, Vivian - Beautiful
Green, Vivian - Emotional Rollercoaster
Greenaway, Roger & Gavin - Family Ness, The
Greenbaum, Norman - Spirit in the Sky
Greene, Jack - Wish I Didn't Have to Miss You [w/Jeannie Seely]
Greene, Jack - There Goes My Everything
Greene, Jack - All the Time
Greene, Lorne - Ringo
Greenway, Cook - My Baby Loves Lovin'
Greenwheel - Breathe
Greenwheel - Shelter
Greenwood, Lee - IOU
Greenwood, Lee - Mornin' Ride
Greenwood, Lee - Ring on Her Finger
Greenwood, Lee - Rocks That You Can't Move
Greenwood, Lee - Somebody's Gonna Love You
Greenwood, Lee - To Me [w/Barbara Mandrell]
Greenwood, Lee - Touch and Go Crazy
Greenwood, Lee - Great Defenders, The
Greenwood, Lee - I Never Thought Your Memory Would Ever Go
Greenwood, Lee - I Don't Mind the Thorns
Greenwood, Lee - Another Year of Love
Greenwood, Lee - Dixie Road
Greenwood, Lee - Fool's Gold
Greenwood, Lee - God Bless the USA
Greenwood, Lee - God Bless the USA 2003
Greenwood, Lee - Going Going Gone
Greenwood, Lee - Hearts Aren't Made to Break (They're Made to Love)
Greenwood, Lee - Holding a Good Hand
Greenwood, Lee - Hopelessly Yours [w/Suzy Bogguss]
Greg Kihn Band - Breakup Song, The (They Don't Write 'Em Like That Anymore)
Greg Kihn Band - For You
Greg Kihn Band - Jeopardy
Gregg Allman Band, The - see  Allman, Gregg 
Gregg, Ricky Lynn - Can You Feel It
Gregg, Ricky Lynn - To Find Where I Belong
Gregg, Ricky Lynn - Three Nickels and a Dime
Gregg, Ricky Lynn - If I Had a Cheatin' Heart
Gregory & the Hawk - Boats and Birds
Gregory, Adam - Crazy Days
Gregory, Clinton - Standing on the Edge of Love
Gregory, Clinton - You Didn't Miss a Thing
Gregory, Clinton - You Smile
Grey, JJ - 99 Shades of Crazy
Griffin, Alistair - You and Me Tonight
Griffin, Lashell - Free
Griffin, Merv - I've Got a Lovely Bunch of Coconuts
Griffin, Patty - One Big Love
Griffin, Patty - Seeing Stars [w/Jack Ingram]
Griffin, Patty - Wild & Lonesome [w/Shooter Jennings]
Griffith, Nanci - From Clare to Here
Griffiths, Marcia - Young, Gifted & Black [Bob & Marcia]
Griffiths, Marcia - Electric Boogie (Electric Slide)
Griggs, Andy - How Cool Is That
Griggs, Andy - Grow Young with You [w/Coley McCabe]
Griggs, Andy - Can I Get an Amen
Griggs, Andy - You Won't Ever Be Lonely
Griggs, Andy - You Made Me That Way
Griggs, Andy - Waitin' on Sundown
Griggs, Andy - Truth About Men, The
Griggs, Andy - Tonight I Want to Be Your Man
Griggs, Andy - Tattoo Rose
Griggs, Andy - She's More
Griggs, Andy - She Thinks She Needs Me
Griggs, Andy - Practice Life [w/Martina McBride]
Griggs, Andy - Practice Life
Griggs, Andy - If Heaven
Griggs, Andy - I'll Go Crazy
Grimshaw, Aiden - Is This Love
Groban, Josh - To Where You Are
Groban, Josh - Vincent (Starry, Starry Night)
Groban, Josh - When You Say You Love Me
Groban, Josh - You Are Loved (Don't Give Up)
Groban, Josh - You Raise Me Up
Groban, Josh - You're Still You
Groban, Josh - Si Volvieras a Mi
Groban, Josh - Remember When It Rained
Groban, Josh - Remember
Groban, Josh - Awake
Groban, Josh - Believe
Groban, Josh - Broken Vow
Groban, Josh - Home to Stay
Groban, Josh - Let Me Fall
Groban, Josh - My Confession
Groban, Josh - Never Let Go
Groban, Josh - February Song
Groce, Larry - Junk Food Junkie
Groove Armada - I See You Baby
Groove Armada - Song 4 Mutya (Out of Control) [w/Mutya Buena]
Groove Generation - You Make Me Feel Like Dancing
Groove Theory - Tell Me
Groove Theory - Baby Luv
GrooveGrass Boyz, The - Macarena
Gross, Henry - Shannon
Grover, Dana - Rain
Groves, Shaun - After the Music Fades
Grupo Aventura - Cuando Volveras
Grupo Bryndis - Por Que Me Enamore?
Grupo Mania - Bajo la Lluvia
Grupo Mania - Sube, Sube
Grupo Montez de Durango - Hoy Empieza Mi Tristeza
Grupo Montez de Durango - L
Grupomania - Caracolito
Guarini, Justin - Foolish
Guarini, Justin - Timeless [w/Kelly Clarkson]
Guerra, Juan Luis - Tu
Guerra, Juan Luis - Palomita Blanca
Guerra, Juan Luis - El Niagara en Bicicleta
Guess Who, The - Laughing
Guess Who, The - Undun
Guess Who, The - These Eyes
Guess Who, The - Stand Tall [Burton Cummings solo]
Guess Who, The - Share the Land
Guess Who, The - Shakin' All Over
Guess Who, The - American Woman
Guess Who, The - Clap for the Wolfman
Guess Who, The - Hand Me Down World
Guess Who, The - No Sugar Tonight/ New Mother Nature
Guess Who, The - No Time
Guetta, David - Sexy B-tch [w/Akon]
Guetta, David - Sexy Chick [clean w/Akon]
Guetta, David - She Wolf (Falling Into Pieces) [ft. Sia]
Guetta, David - Sweat [ft. Snoop Dogg]
Guetta, David - Titanium [ft. Sia]
Guetta, David - Turn Me on [w/Nicki Minaj]
Guetta, David - When Love Takes Over [w/Kelly Rowland]
Guetta, David - Without You [w/Usher]
Guetta, David - Right Now [w/Rihanna]
Guetta, David - Play Hard [w/Ne-Yo & Akon]
Guetta, David - Pass at Me [w/Timbaland & Pitbull]
Guetta, David - Club Can't Handle Me [w/Flo Rida]
Guetta, David - Gettin' Over You [w/Chris Willis]
Guetta, David - I Can Only Imagine [w/Chris Brown]
Guetta, David - Just One Last  [ft. Taped Rai]
Guetta, David - Just One Last Time [w/Taped Rai]
Guetta, David - Laserlight [w/Jessie J]
Guetta, David - One Love [w/Estelle]
Guetta, David - Night of Your Live [ft. Jennifer Hudson]
Guetta, David - Love Is Gone [w/Chris Willis]
Guetta, David - Little Bad Girl [ft. Taio Cruz & Ludacris]
Guillemots - Falling Out of Reach
Gun - Word Up
Guns n' Roses - Paradise City
Guns n' Roses - Patience
Guns n' Roses - Since I Don't Have You
Guns n' Roses - Sweet Child o' Mine [regular version]
Guns n' Roses - Sweet Child o' Mine [shorter - cuts off at solo]
Guns n' Roses - Used to Love Her
Guns n' Roses - Welcome to the Jungle
Guns n' Roses - You Could Be Mine
Guns n' Roses - November Rain
Guns n' Roses - My Michelle
Guns n' Roses -  see also  Velvet Revolver 
Guns n' Roses - B-tch
Guns n' Roses - Civil War
Guns n' Roses - Don't Cry
Guns n' Roses - Estranged
Guns n' Roses - Knockin' on Heaven's Door
Guns n' Roses - Live and Let Die
Guns n' Roses - Mr. Brownstone
Gurvitz, Adrian - Classic
Guster - Fa Fa (Never Be the Same Again)
Guster - Careful
Guster - Amsterdam
Guthrie, Arlo - Alice's Restaurant
Guthrie, Arlo - City of New Orleans
Guthrie, Gwen - Ain't Nothing Goin' on But the Rent
Guthrie, Trevor - This Is What It Feels Like [w/Armin Van Buuren]
Guthrie, Woody - This Land Is Your Land
Guy - Dancin'
Guy, Buddy - Damn Right, I've Got the Blues
Guy, Buddy - Goin' Home
Guzman, Alejandra - De Verdad
Gyllene Tider - Sommartider
Gyllene Tider - N
Gyllene Tider - G
Gyllene Tider - Flickorna p
Gym Class Heroes - Stereo Hearts [w/Adam Levine]
Gym Class Heroes - Fighter, The [w/Ryan Tedder]
Gym Class Heroes - Cupid's Chokehold [w/Patrick Stump]
Gym Class Heroes - Cookie Jar [w/The Dream]
Gym Class Heroes - Clothes Off
Gym Class Heroes - Ass Back Home (Get Yourself Back Home) [w/Neon Hitch]
Gypsy Kings - Bamboleo
Gypsy Kings - Mi Manera, A
