C & C Music Factory - Do You Want to Get Funky
C & C Music Factory - Gonna Make You Sweat
C & C Music Factory - Things That Make You Go Hmmm
C Note - Wait Till I Get Home
C-Side - Boyfriend/Girlfriend [w/Keyshia Cole]
Cab, The - Bounce
Che'Nelle - I Fell in Love with the DJ [w/Cham]
Cheap Trick - You're All I Wanna Do
Cheap Trick - Woke Up with a Monster
Cheap Trick - Surrender
Cheap Trick - She's Tight
Cheap Trick - I Want You to Want Me
Cheap Trick - Flame, The
Cheap Trick - Dream Police
Cheap Trick - Don't Be Cruel
Cheap Trick - Ain't That a Shame (live)
Cheap Trick - Can't Stop Falling into Love
Cheatham, Oliver - Make Luv [w/Room 5]
Cheatham, Oliver - Get Down Saturday Night
Checker, Chubby - Twist, The
Checker, Chubby - Slow Twisting
Checker, Chubby - Pony Time
Checker, Chubby - Hucklebuck, The
Checker, Chubby - Let's Twist Again
Checker, Chubby - Limbo Rock
Cheech & Chong - Earache My Eye
Cheeky Girls - Cheeky Song
Cheeky Girls - Take Your Shoes Off
Cheeky Girls - Hooray Hooray (It's a Cheeky Holiday)
Cheers, The - Black Denim Trousers and Motorcyle Boots
Chemical Brothers, The - Galvanise
Chemical Brothers, The - Open Up [Johnny Rotten/Leftfield]
Cher - Shoop Shoop Song, The (It's in His Kiss)
Cher - Save Up All Your Tears
Cher - One By One
Cher - Music's No Good Without You
Cher - Love Hurts
Cher - Love and Understanding
Cher - Song for the Lonely
Cher - Strong Enough
Cher - Take Me Home
Cher - This Is a Song for the Lonely
Cher - Walking in Memphis
Cher - Way of Love, The
Cher - Welcome to Burlesque
Cher - Working Girl
Cher - Just Like Jesse James
Cher - If I Could Turn Back Time
Cher - I Got You Babe [w/Sonny]
Cher - After All [w/Peter Cetera]
Cher - All I Ever Need (Is You) [w/Sonny]
Cher - All I Really Want to Do
Cher - All or Nothing
Cher - Baby Don't Go [w/Sonny]
Cher - Bang Bang (My Baby Shot Me Down)
Cher - Beat Goes On, The [w/Sonny]
Cher - Believe
Cher - Bewitched, Bothered & Bewildered [w/Rod Stewart]
Cher - I Found Someone
Cher - Heart of Stone
Cher - Half Breed
Cher - Gypsies, Tramps & Thieves
Cher - Dove L'amore
Cher - Dark Lady
Cherie - I'm Ready
Cherie - Older than My Years
Cherish - Unappreciated
Cherish - Killa [w/Yung Joc]
Cherish - In Love Wit Chu [w/Da Brat]
Cherish - Amnesia
Cherish - Do It to It [w/Sean Paul]
Cherrelle - Saturday Love
Cherry Ghost - People Help the People
Cherry Poppin' Daddies - Brown Derby Jump
Cherry Poppin' Daddies - Ding Dong Daddy of the D Car Line
Cherry Poppin' Daddies - Here Comes the Snake
Cherry Poppin' Daddies - Zoot Suit Riot
Cherry, Don - Band of Gold
Cherry, Neneh - Woman
Cherry, Neneh - Manchild
Cherry, Neneh - Buffalo Stance
Cheryl - Call My Name
Cheryl - Under the Sun
Chesney, Kenny - Old Blue Chair
Chesney, Kenny - Old Blue Chair (Ocean mix)
Chesney, Kenny - On the Coast of Somewhere Beautiful
Chesney, Kenny - Reality
Chesney, Kenny - She Thinks My Tractor's Sexy
Chesney, Kenny - No Shoes, No Shirt, No Problems
Chesney, Kenny - Never Wanted Nothing More
Chesney, Kenny - Never Gonna Feel That Way Again
Chesney, Kenny - My Cellmate Thinks I'm Sexy (Cledus T. Judd parody)
Chesney, Kenny - Me and You
Chesney, Kenny - Luckenbach, Texas [w/Kid Rock]
Chesney, Kenny - Lot of Things Different, A
Chesney, Kenny - Living in Fast Forward
Chesney, Kenny - She's Got It All
Chesney, Kenny - Shiftwork [w/George Strait]
Chesney, Kenny - Summertime
Chesney, Kenny - You Save Me
Chesney, Kenny - You Had Me from Hello
Chesney, Kenny - You and Tequila [ft. Grace Potter]
Chesney, Kenny - Woman with You, The
Chesney, Kenny - Who You'd Be Today
Chesney, Kenny - When the Sun Goes Down [w/Uncle Kracker]
Chesney, Kenny - When I Close My Eyes
Chesney, Kenny - What I Need to Do
Chesney, Kenny - Tin Man, The
Chesney, Kenny - There Goes My Life
Chesney, Kenny - That's Why I'm Here
Chesney, Kenny - That Lucky Old Sun (Just Rolls Around Heaven All Day) [w/Willie Nelson]
Chesney, Kenny - Young
Chesney, Kenny - Ain't Back Yet
Chesney, Kenny - Down the Road [w/Mac McAnaly]
Chesney, Kenny - Don't Happen Twice
Chesney, Kenny - Don't Blink
Chesney, Kenny - Christmas in Dixie
Chesney, Kenny - Chance, A
Chesney, Kenny - Big Star
Chesney, Kenny - Better as a Memory
Chesney, Kenny - Beer in Mexico
Chesney, Kenny - Be as You Are
Chesney, Kenny - Back in My Arms Again
Chesney, Kenny - Anything But Mine
Chesney, Kenny - All I Want for Christmas Is a Real Good Tan
Chesney, Kenny - All I Need to Know
Chesney, Kenny - Dreams
Chesney, Kenny - Everybody Wants to Go to Heaven
Chesney, Kenny - Live Those Songs
Chesney, Kenny - Live a Little
Chesney, Kenny - Keg in the Closet
Chesney, Kenny - Just Put a Ribbon in Your Hair
Chesney, Kenny - I Will Stand
Chesney, Kenny - I Lost It
Chesney, Kenny - I Go Back
Chesney, Kenny - How Forever Feels
Chesney, Kenny - Fall in Love
Chesney, Kenny - Flip-Flop Summer
Chesney, Kenny - Good Stuff, The
Chesney, Kenny - Grandpa Told Me So
Chesney, Kenny - Guitars and Tiki Bars
Chesney, Kenny - Hey Good Lookin'[w/Black,Buffet,Jacksn,Kth,Strait]
Chesnutt, Mark - She Dreams
Chesnutt, Mark - Rollin' with the Flow
Chesnutt, Mark - Old Flames Have New Names
Chesnutt, Mark - Ol' Country
Chesnutt, Mark - Lord Loves the Drinkin' Man, The
Chesnutt, Mark - Let It Rain
Chesnutt, Mark - It's Not Over
Chesnutt, Mark - She Was
Chesnutt, Mark - Thank God for Believers
Chesnutt, Mark - This Heartache Never Sleeps
Chesnutt, Mark - Too Cold at Home
Chesnutt, Mark - Trouble
Chesnutt, Mark - Wherever You Are
Chesnutt, Mark - Woman Sensuous Woman
Chesnutt, Mark - Wrong Place, Wrong Time
Chesnutt, Mark - Your Love Is a Miracle
Chesnutt, Mark - It's a Little Too Late
Chesnutt, Mark - It Sure Is Monday
Chesnutt, Mark - I'm in Love with a Married Woman
Chesnutt, Mark - Almost Goodbye
Chesnutt, Mark - Blame It on Texas
Chesnutt, Mark - Broken Promise Land
Chesnutt, Mark - Brother Jukebox
Chesnutt, Mark - Bubba Shot the Jukebox
Chesnutt, Mark - Down in Tennessee
Chesnutt, Mark - Fallin' Never Felt So Good
Chesnutt, Mark - Goin' Through the Big 'D'
Chesnutt, Mark - Going on Later On
Chesnutt, Mark - Gonna Get a Life
Chesnutt, Mark - Good Way to Get on My Bad Side, A [w/Tracy Byrd]
Chesnutt, Mark - I Don't Want to Miss a Thing
Chesnutt, Mark - I Just Wanted You to Know
Chesnutt, Mark - I Might Even Quit Lovin' You
Chesnutt, Mark - I Want My Baby Back
Chesnutt, Mark - I'll Think of Something
Chesnutt, Mark - I'm a Saint
Chestnutt, Mark - She Was
Chestnutt, Mark - I'm a Saint
Chevalier, Maurice - Thank Heaven for Little Girls
Chevelle - Vitamin R
Chevelle - Send the Pain Below
Chevelle - Red, The
Chevelle - Panic Prone
Chevelle - Clincher, The
Chevelle - Closure
Chevelle - I Get It
Chi-Lites, The - Oh Girl
Chi-Lites, The - You Don't Have to Go
Chi-Lites, The - Have You Seen Her?
Chi-Lites, The - Homely Girl
Chic - Dance, Dance, Dance
Chic - Your Love
Chic - Le Freak
Chic - Good Times
Chicago - Look Away
Chicago - Make Me Smile
Chicago - No Tell Lover
Chicago - Old Days
Chicago - Question 67 & 68
Chicago - Saturday in the Park
Chicago - White Christmas
Chicago - Wishing You Were Here
Chicago - You're the Inspiration
Chicago - Just You & Me
Chicago - Jolly Old St. Nicholas
Chicago - Baby What a Big Surprise
Chicago - Beginnings
Chicago -  see also  Cetera, Peter 
Chicago - 25 or 6 to 4
Chicago - Along Comes a Woman
Chicago - Call on Me
Chicago - Colour My World
Chicago - Does Anybody Really Know What Time It Is?
Chicago - Feeling Stronger Every Day
Chicago - Hard Habit to Break
Chicago - I'm a Man
Chicago - If You Leave Me Now
Chicago - I Don't Wanna Live Without Your Love
Chicago - Hard to Say I'm Sorry
Chicane - Don't Give Up [w/Bryan Adams]
Chicken Shed Theatre Co - I Am in Love with the World
Chicory Tip - Son of My Father
Chiddy Bang - Ray Charles
Chieftans, The - I Know My Love [w/The Corrs]
Chiffons, The - Sweet Talkin' Guy
Chiffons, The - He's So Fine
Chiffons, The - One Fine Day
Child, Jane - Don't Wanna Fall in Love
Childish Gambino - Trouble [ft. Leona Lewis]
Childish Gambino - Bonfire
Children's Songs - Row, Row, Row Your Boat
Children's Songs - Polly Wolly Doodle
Children's Songs - On Top of Spaghetti
Children's Songs - Old MacDonald
Children's Songs - Oh Susanna
Children's Songs - My Favorite Things
Children's Songs - Mary Had a Little Lamb
Children's Songs - Mama Look at Boo Boo
Children's Songs - London Bridge Is Falling Down
Children's Songs - Little Bunny Foo Foo
Children's Songs - Sesame Street
Children's Songs - Skip to My Lou
Children's Songs - Yankee Doodle
Children's Songs - Witches Go Flying Along, The
Children's Songs - When Johnny Comes Marching Home
Children's Songs - We Gather Together
Children's Songs - Wassail Song
Children's Songs - Twinkle, Twinkle, Little Star
Children's Songs - Three Blind Mice
Children's Songs - This Old Man
Children's Songs - Teletubbies Say 'Eh-Oh'
Children's Songs - Take Me Out to the Ballgame
Children's Songs - Little Bo Peep
Children's Songs - Jack and Jill
Children's Songs - I've Been Working on the Railroad
Children's Songs - C is for Cookie
Children's Songs - Bob the Builder - Super Spud
Children's Songs - Bob the Builder - Right Tool for the Job
Children's Songs - Bob the Builder - Mambo No. 5
Children's Songs - Bob the Builder - Crocodile Rock
Children's Songs - Bob the Builder - Can We Fix It
Children's Songs - Bob the Builder - Blond Haired Girl in a Hard Hat
Children's Songs - Ants Go Marching, The
Children's Songs - Baa Baa Black Sheep
Children's Songs - Bats in the Belfry
Children's Songs - B-I-N-G-O
Children's Songs - Alphabet Song, The
Children's Songs - Cockles & Mussels
Children's Songs - Do Your Ears Hang Low
Children's Songs - Do-Re-Mi
Children's Songs - It's Raining, It's Pouring
Children's Songs - I'm a Little Teapot
Children's Songs - If You're Happy and You Know It
Children's Songs - How Much Is That Doggie in the Window
Children's Songs - Hokey Pokey, The
Children's Songs - Here Comes Peter Cottontail
Children's Songs - Happy Birthday to You
Children's Songs - Dreydl, The
Children's Songs - Easter Parade
Children's Songs - Farmer in the Dell, The
Children's Songs - Frere Jacques
Children's Songs - Good Ship Lollipop
Children's/Activity Songs - What Did Delaware
Children's/Activity Songs - Three Jolly Fisherman
Children's/Activity Songs - Three Blind Mice
Children's/Activity Songs - This Old Man
Children's/Activity Songs - Ten Little Indians
Children's/Activity Songs - Ring Around a Rosy
Children's/Activity Songs - Pop! Goes the Weasel
Children's/Activity Songs - Dry Bones
Children's/Activity Songs - Eensie Weensie Spider
Children's/Activity Songs - John Brown's Baby
Children's/Activity Songs - Mulberry Bush, The
Children's/Activity Songs - My Hand on My Head
Children's/Activity Songs - My Hat Has Three Corners
Children's/Activity Songs - Once an Austrian Went Yodeling
Children's/Activity Songs - One Bottle of Pop
Children's/Activity Songs - Peanut Sat on a Railroad Track, A
Children's/Animal Songs - Puff the Magic Dragon
Children's/Animal Songs - Pussy Cat, Pussy Cat
Children's/Animal Songs - Shoo Fly
Children's/Animal Songs - This Little Piggie
Children's/Animal Songs - Where Is Your Goose?
Children's/Animal Songs - Little Peter Rabbit
Children's/Animal Songs - Kookaburra
Children's/Animal Songs - Crocodile, The
Children's/Animal Songs - Bill Grogan's Goat
Children's/Animal Songs - Bear Went Over the Mountain, The
Children's/Animal Songs - Baby Bumblebee
Children's/Animal Songs - B-I-N-G-O
Children's/Animal Songs - Farmer in the Dell, The
Children's/Animal Songs - Five Little Chickadees
Children's/Animal Songs - Five Little Monkeys
Children's/Animal Songs - Flea Fly Song
Children's/Animal Songs - Fuzzy Wuzzy
Children's/Bedtime Songs - Taps
Children's/Bedtime Songs - Ten in a Bed
Children's/Bedtime Songs - Twinkle, Twinkle, Little Star
Children's/Bedtime Songs - Wee Willie Winkle
Children's/Bedtime Songs - Sleep, Baby Sleep
Children's/Bedtime Songs - Russian Cradle Song
Children's/Bedtime Songs - Rock-a-Bye Baby
Children's/Bedtime Songs - All Night, All Day
Children's/Bedtime Songs - All the Pretty Little Horses
Children's/Bedtime Songs - All Through the Night
Children's/Bedtime Songs - Braham's Lullaby
Children's/Bedtime Songs - Bye Baby Bunting
Children's/Bedtime Songs - German Lullaby
Children's/Bedtime Songs - Hush Little Baby
Children's/Bedtime Songs - Hush-a-Bye
Children's/Bedtime Songs - Mozart's Lullaby
Children's/Campfire Songs - Swanee River
Children's/Campfire Songs - Yankee Doodle
Children's/Campfire Songs - Taps
Children's/Campfire Songs - Skip to My Lou
Children's/Campfire Songs - She'll Be Comin' Round the Mountain
Children's/Campfire Songs - Pick a Bale of Cotton
Children's/Campfire Songs - Kumbaya
Children's/Campfire Songs - Battle Hymn of the Republic
Children's/Campfire Songs - Be Kind to Your Web Footed Friends
Children's/Campfire Songs - Billy Boy
Children's/Campfire Songs - Bollweevil
Children's/Campfire Songs - Clementine
Children's/Campfire Songs - Found a Peanut
Children's/Campfire Songs - Here We Go Loopty Loo
Children's/Campfire Songs - Home on the Range
Children's/Campfire Songs - John Jacob Jingleheimer Schmidt
Children's/Happy Songs - Twinkle, Twinkle, Little Star
Children's/Happy Songs - Old MacDonald
Children's/Happy Songs - Oh Susanna
Children's/Happy Songs - Mary Had a Little Lamb
Children's/Happy Songs - London Bridge Is Falling Down
Children's/Happy Songs - Little Bunny Foo Foo
Children's/Happy Songs - Little Bo Peep
Children's/Happy Songs - Do Your Ears Hang Low?
Children's/Happy Songs - B-I-N-G-O
Children's/Happy Songs - Baa Baa Black Sheep
Children's/Happy Songs - Ants Go Marching, The
Children's/Happy Songs - Alphabet Song, The
Children's/Happy Songs - If You're Happy and You Know It
Children's/Happy Songs - I'm a Little Teapot
Children's/Happy Songs - I've Been Working on the Railroad
Children's/Happy Songs - Jack & Jill
Children's/Nursery Rhymes - Where Has My Little Dog Gone?
Children's/Nursery Rhymes - Tisket a Tasket, A
Children's/Nursery Rhymes - Three Little Kittens
Children's/Nursery Rhymes - Sing a Song of Sixpence
Children's/Nursery Rhymes - Row, Row, Row Your Boat
Children's/Nursery Rhymes - Rain, Rain Go Away
Children's/Nursery Rhymes - Pease Porridge Hot
Children's/Nursery Rhymes - Froggie Went a Courtin'
Children's/Nursery Rhymes - Hey Diddle Diddle
Children's/Nursery Rhymes - Hickory Dickory Dock
Children's/Nursery Rhymes - Humpty Dumpty
Children's/Nursery Rhymes - Little Boy Blue
Children's/Nursery Rhymes - Little Jack Horner
Children's/Nursery Rhymes - Little Miss Muffet
Children's/Nursery Rhymes - Old King Cole
Children's/Nursery Rhymes - Pat-a-Cake
Children's/Silly Songs - Where Is Thumbkin?
Children's/Silly Songs - There's a Hole in the Middle of the Sea
Children's/Silly Songs - There Was an Old Woman
Children's/Silly Songs - There Was a Crooked Man
Children's/Silly Songs - Simple Simon
Children's/Silly Songs - Rub-a-Dub-Dub
Children's/Silly Songs - Paper of Pins, A
Children's/Silly Songs - Camptown Races
Children's/Silly Songs - Georgie Porgie
Children's/Silly Songs - Hokey Pokey, The
Children's/Silly Songs - Jimmy Crack Corn
Children's/Silly Songs - Boom, Boom, Ain't It Great to Be Crazy
Children's/Silly Songs - On Top of Old Smokey
Children's/Silly Songs - Nobody Likes Me
Children's/Silly Songs - My Bonnie Lies Over the Ocean
Children's/Silly Songs - Mary Mary Quite Contrary
Children's/Sunday School Songs - Deep and Wide
Children's/Sunday School Songs - This Little Light of Mine
Children's/Sunday School Songs - Who Did Swallow Jonah
Children's/Sunday School Songs - Wise Man Built This House, The
Children's/Sunday School Songs - Zacchaeus
Children's/Sunday School Songs - Rock-a-My Soul
Children's/Sunday School Songs - Peace Like a River
Children's/Sunday School Songs - Do Lord
Children's/Sunday School Songs - Give Me Oil in My Lamp
Children's/Sunday School Songs - Heavenly Sunshine
Children's/Sunday School Songs - He's Got the Whole World in His Hands
Children's/Sunday School Songs - Lord Is My Shepherd, The
Children's/Sunday School Songs - Jesus Loves Me
Children's/Sunday School Songs - Jesus Loves the Little Children
Children's/Sunday School Songs - Jesus Wants Me for a Sunbeam
Children's/Sunday School Songs - B-I-B-L-E, The
Childs, Andy - Broken
Childs, Andy - Geronimo
Chimes - Once in a While
China Black - Searching
Chingy - Right Thurr
Chingy - Pulling Me Back [w/Tyrese]
Chingy - One Call Away [w/J. Weav]
Chingy - I Like That [w/Houston & Nate Dogg & I-20]
Chingy - Holidae In [w/Snoop Dogg & Ludacris]
Chingy - Balla Baby
Chingy - Dem Jeans
Chingy - Fly Like Me [w/Amerie]
Chip - Reload [w/Wiley & Ms.D]
Chipmunk - Diamond Rings [ft. Emeli Sande]
Chipmunk - Number One Enemy [w/Daisy Dares You]
Chipmunk - Oopsy Daisy
Chipmunk - Look for Me [w/Talay Riley]
Chipmunks, The - Chipmunk Song (Christmas Don't Be Late)
Choirboys - Boys Will Be Boys
Choppa - Choppa Style
Chordettes, The - Lollipop
Chordettes, The - Mr. Sandman
Chords, The - Sh-Boom [w/The Crew Cuts]
Chris Weaver Band - Everything I Used to Be
Chris Weaver Band - So Damn Beautiful
Christian - see  Gospel/Christian 
Christians, The - Harvest for the World [Isley Brothers cover]
Christie - Yellow River
Christie, Lauren - Color of the Night, The
Christie, Lauren - Magazine
Christie, Lou - Two Faces Have I
Christie, Lou - Lightning Strikes
Christie, Lou - Gypsy Cried, The
Christie, Tony - Daddy Don't You Walk So Fast
Christie, Tony - Avenues and Alleyways
Christie, Tony - Walk Like a Panther [w/All Seeing Eye]
Christie, Tony - Merry Christmas Everyone
Christie, Tony - Las Vegas
Christie, Tony - Is This the Way to the World Cup
Christie, Tony - Is This the Way to Amarillo
Christie, Tony - I Did What I Did for Maria
Christie, Tony - Here It Is Merry Xmas
Christie, Tony - Drive Safely Darling
Christmas - O' White Christmas [Little People]
Christmas - O Tannenbaum
Christmas - O Little Town of Bethlehem [Emmylou Harris]
Christmas - O Little Town of Bethlehem
Christmas - O Holy Night [Avril Lavigne & Chantal Kreviazuk]
Christmas - O Holy Night
Christmas - O Come O Come Emmanuel
Christmas - O Come All Ye Faithful [Sara Evans]
Christmas - O Come All Ye Faithful
Christmas - On a Snowy Christmas Night
Christmas - Over the River & Through the Woods
Christmas - Peace on Earth/Little Drummer Boy [Bing Crosby & David Bowie]
Christmas - Rudolph the Red-Nosed Reindeer
Christmas - Rockin' Around the Christmas Tree [Brenda Lee]
Christmas - Rock & Roll Christmas [George Thorogood]
Christmas - Put a Little Love in Your Heart [A.Lennox&A.Green]
Christmas - Put a Little Holiday in Your Heart [LeAnn Rimes]
Christmas - Pretty Paper [Willie Nelson]
Christmas - Pretty Paper
Christmas - Please Come Home for Christmas [Eagles]
Christmas - Please Come Home for Christmas [Bon Jovi]
Christmas - O Christmas Tree
Christmas - Nuttin' for Christmas [Stan Freberg]
Christmas - Night Before Christmas, The [Toby Keith]
Christmas - Little Drummer Boy, The [Anne Murray]
Christmas - Little Drummer Boy, The
Christmas - Little Drummer Boy [Jessica & Ashlee Simpson]
Christmas - Let There Be Peace on Earth
Christmas - Let It Snow
Christmas - Let It Be Christmas [Alan Jackson]
Christmas - Last Christmas [George Michael]
Christmas - Joy to the World
Christmas - Jolly Old St. Nicholas
Christmas - Little Saint Nick [Beach Boys]
Christmas - Lonely This Christmas [Mud]
Christmas - Mistletoe and Wine [Cliff Richard]
Christmas - Mistletoe and Holly
Christmas - Mistletoe [Justin Bieber]
Christmas - Merry Xmas Everybody [Slade]
Christmas - Merry Christmas Everyone [Tony Christie]
Christmas - Merry Christmas Everyone [Shakin' Stevens]
Christmas - Merry Christmas Darling [Carpenters]
Christmas - Mele Kalikimaka [Bing Crosby]
Christmas - Lonely Without You (This Christmas) [Mick Jagger & Joss Stone]
Christmas - Jingle Bells [Singing Dogs]
Christmas - Rudolph the Red-Nosed Reindeer [Gene Autry]
Christmas - You're a Mean One Mr Grinch
Christmas - We Wish You a Merry Christmas
Christmas - We Three Kings
Christmas - We Need a Little Christmas [Mame]
Christmas - Up on the Housetop
Christmas - Twelve Days of Christmas [Allan Sherman]
Christmas - Twelve Days of Christmas
Christmas - This Christmas (Donny Hathaway]
Christmas - That Swingin' Manger [Bob Francis]
Christmas - Thank God It's Christmas [Queen]
Christmas - What Child Is This [The Judds]
Christmas - What Child Is This [Vince Gill]
Christmas - Wonderful World of Christmas, The
Christmas - With Bells on [Dolly Parton & Kenny Rogers]
Christmas - Winter Wonderland [Lonestar]
Christmas - Winter Wonderland
Christmas - White Christmas [Bing Crosby]
Christmas - White Christmas
Christmas - Where Are You Christmas [Faith Hill]
Christmas - What If [Kate Winslet, from a Christmas Carol]
Christmas - What Child Is This?
Christmas - Thank God for Kids [Oak Ridge Boys]
Christmas - Step into Christmas [Elton John]
Christmas - Sleigh Ride [TLC]
Christmas - Santa Claus Is Coming to Town
Christmas - Santa Claus Is Comin' (in a Boogie Woogie Tractor)
Christmas - Santa Claus Is Back in Town [Elvis Presley]
Christmas - Santa Claus Boogie [The Tractors]
Christmas - Santa Bring My Baby Back
Christmas - Santa Baby [Madonna]
Christmas - Santa Baby [Eartha Kitt]
Christmas - Same Old Lang Syne [Dan Fogelberg]
Christmas - Run Run Rudolph [Bryan Adams]
Christmas - Santa Claus Is Coming to Town [Bruce Springsteen]
Christmas - Santa Claus Is Coming to Town [Justin Bieber]
Christmas - Sleigh Ride [Ronettes]
Christmas - Sleigh Ride [Johnny Mathis]
Christmas - Sleigh Ride
Christmas - Silver Bells
Christmas - Silent Night [Temptations]
Christmas - Silent Night
Christmas - Santa Looked a Lot Like Daddy [Buck Owens]
Christmas - Santa Claus Is Watching [Ray Stevens]
Christmas - Santa Claus Is Coming to Town [Pointer Sisters]
Christmas - Run Rudolph Run [Chuck Berry]
Christmas - Jingle Bells [Brian Setzer Orhcestra]
Christmas - Father Christmas [The Kinks]
Christmas - Christmas Song, The [Stevie Wonder & India.Arie]
Christmas - Christmas Song, The [Nat 'King' Cole]
Christmas - Christmas Song, The (Chestnuts Roasting
Christmas - Christmas Song, The
Christmas - Christmas Song [Randy Travis]
Christmas - Christmas Shoes, The [Bob Carlisle]
Christmas - Christmas Letter, A [Reba McEntire]
Christmas - Christmas Island [Jimmy Buffett]
Christmas - Christmas Is All Around [Billy Mack]
Christmas - Christmas Time [The Darkness]
Christmas - Christmas Time Is Here [Sixpence None the Richer]
Christmas - Christmas Time's a Comin' [Sammy Kershaw]
Christmas - Driving Home for Christmas [Chris Rea]
Christmas - Do You Hear What I Hear?
Christmas - Do You Hear What I Hear [Vanessa Williams]
Christmas - Do You Hear What I Hear [Bing Crosby]
Christmas - Do They Know It's Christmas [Band Aid]
Christmas - Do They Know It's Christmas [Band Aid 20]
Christmas - Deck the Halls
Christmas - Christmastime Is Here
Christmas - Christmas Wrapping [The Waitresses]
Christmas - Christmas in My Home Town [Charley Pride]
Christmas - Christmas in Hollis [Run DMC]
Christmas - Baby It's Cold Outside [Tom Jones & Cerys Matthews]
Christmas - Away in a Manger [Johnny Cash]
Christmas - Away in a Manger
Christmas - Ave Maria
Christmas - Auld Lang Syne
Christmas - Angels We Have Heard on High
Christmas - Angels from the Realms of Glory
Christmas - All I Want for Christmas Is You [Mariah Carey]
Christmas - All I Want for Christmas Is a Real Good Tan [Kenny Chesney]
Christmas - Back Door Santa [Clarence Carter]
Christmas - Beautiful Star of Bethlehem [Judds]
Christmas - Best Christmas of Them All [Shakin' Stevens]
Christmas - Christmas in Dixie [Kenny Chesney]
Christmas - Christmas in Dixie [Alabama]
Christmas - Christmas Day [Dido]
Christmas - Christmas Carol, A [Tom Lehrer]
Christmas - Christ Was Born on Christmas Day
Christmas - Boogie Woogie Santa Claus [Brian Setzer Orchestra]
Christmas - Blue Christmas [Sheryl Crow]
Christmas - Blue Christmas [Elvis Presley]
Christmas - Blue Christmas
Christmas - 2000 Miles [Pretenders]
Christmas - Jingle Bells
Christmas - If Every Day Was Like Christmas
Christmas - I Wonder as a Wander
Christmas - I Wish It Could Be Christmas Everyday [Wizzard]
Christmas - I Want a Hippopotamus for Christmas [Gayla Peevey]
Christmas - I Saw Mommy Kissing Santa Claus
Christmas - I Only Want You for Christmas
Christmas - I Heard the Bells on Christmas Day
Christmas - I Believe in Father Christmas [Greg Lake]
Christmas - I Believe in Christmas [Tweenies]
Christmas - If Every Day Was Like Christmas [Elvis Presley]
Christmas - If I Get Home on Christmas Day
Christmas - If We Make It Through December [Merle Haggard]
Christmas - Jingle Bell Rock [Bobby Helms]
Christmas - It's Gonna Be a Cold Christmas Without You [Dana]
Christmas - It's Beginning to Look a Lot Like Christmas [Dean Martin]
Christmas - It's Beginning to Look a Lot Like Christmas
Christmas - It Won't Seem Like Christmas
Christmas - It Wasn't His Child
Christmas - It Came Upon a Midnight Clear
Christmas - I'll Be Home for Christmas [Elvis]
Christmas - I'll Be Home for Christmas
Christmas - How Do I Wrap My Heart Up for Christmas [Randy Travis]
Christmas - Home for the Holidays [Bing Crosby]
Christmas - Hark!  The Herald Angels Sing [Marty Robbins]
Christmas - Hard Candy Christmas [Dolly Parton]
Christmas - Happy Xmas (War Is Over) [John Lennon & Yoko Ono]
Christmas - Good Christian Friends Rejoice
Christmas - God Rest Ye Merry Gentlemen
Christmas - Go Tell It on the Mountain
Christmas - Gift, The [Jim Brickman,Susan Ashton,&Collin Raye]
Christmas - Frosty the Snowman
Christmas - First Noel, The
Christmas - Feliz Navidad [Jose Feliciano]
Christmas - Hark! the Herald Angels Sing
Christmas - Have Yourself a Merry Little Christmas
Christmas - Holly Leaves and Christmas Trees
Christmas - Holly Jolly Christmas, A [Burl Ives]
Christmas - Ho! Ho! Ho! Who'd Be a Turkey at Christmas [Elton John]
Christmas - Here It Is Merry Xmas [Tony Christie]
Christmas - Here Comes Santa Claus [Elvis]
Christmas - Here Comes Santa Claus [Dwight Yoakam]
Christmas - Here Comes Santa Claus
Christmas - Heat Miser / Snow Miser [Year Without Santa Claus]
Christmas - Have Yourself a Merry Little Christmas [Perry Como
Christmas - Have Yourself a Merry Little Christmas [Martina McBride]
Christmas - Comedy - Senor Santa Claus [Elmo & Patsy]
Christmas - Comedy - Santa's F****** Roadies [Kevin Bloody Wilson]
Christmas - Comedy - Santa Claus Is Watching [Ray Stevens]
Christmas - Comedy - Redneck 12 Days of Christmas [Jeff Foxworthy]
Christmas - Comedy - Snoopy's Christmas [Royal Guardsmen]
Christmas - Comedy - Twelve Days of Christmas, The [Bob & DougMcKenzie]
Christmas - Comedy - Twelve Pains of Christmas, The [Bob Rivers]
Christmas - Comedy - What If Eminem Did Jingle Bells [Bob Rivers]
Christmas - Comedy - Who Put the Dick on the Snowman [Carrington, Rodney]
Christmas - Comedy - Wreck the Malls [Bob Rivers]
Christmas - Comedy - You Ain't Gettin' Sh*t for Christmas [Red Peters]
Christmas - Comedy - Night Santa Went Crazy, The [ Weird Al  Yankovic 
Christmas - Comedy - Merry F****** Christmas [South Park]
Christmas - Comedy - Lonely Jew on Christmas, The [South Park]
Christmas - Comedy - All I Want for Christmas Is My Two Front Teeth
Christmas - Comedy - Chipmunk Song (Christmas Don't Be Late)
Christmas - Comedy - Christmas at Ground Zero [Yankovic, 'Weird Al']
Christmas - Comedy - Christmas, My Arse! [Tomlinson, Ricky]
Christmas - Comedy - Grandma Got Run Over By a Reindeer [Elmo & Patsy]
Christmas - Comedy - Ho Ho F****** Ho [Kevin Bloody Wilson]
Christmas - Comedy - Holy Sh*t, It's Christmas! [Red Peters]
