P Money - Stop the Music [w/Scribe]
P. Diddy - see  Diddy 
Pablo, Petey - see  Petey Pablo 
Pitbull - Dance Again [w/Jennifer Lopez]
Pitbull - Don't Stop the Party [w/TJR]
Pitbull - Feel This Moment [w/Christina Aguilera]
Pitbull - Get It Started [w/Shakira]
Pitbull - Give Me Everything [w/Nayer, Afrojack & Ne-Yo]
Pitbull - Hotel Room Service
Pitney, Gene - Man Who Shot Liberty Valance, The
Pitney, Gene - Maria Elena
Pitney, Gene - Nobody Needs Your Love
Pitney, Gene - Only Love Can Break a Heart
Pitney, Gene - Princess in Rags
Pitney, Gene - Something's Gotten Hold of My Heart
Pitney, Gene - Town Without Pity
Pitney, Gene - Louisiana Mama
Pitney, Gene - Looking Through the Eyes of Love
Pitney, Gene - Liberty Valance
Pitney, Gene - Just One Smile
Pitney, Gene - It Hurts to Be in Love
Pitney, Gene - I'm Gonna Be Strong
Pitney, Gene - I Must Be Seeing Things
Pitney, Gene - Half Heaven Half Heartache
Pitney, Gene - Every Breath I Take
Pitney, Gene - 24 Hours from Tulsa
Pixies, The - Monkey Gone to Heaven
Pixies, The - Here Comes Your Man
PJ & Duncan -  see also  Ant & Dec 
PJ & Duncan - Eternal Love
PJ & Duncan - Let's Get Ready to Rhumble
PJ & Duncan - We're on the Ball
Placebo - You Don't Care About Us
Placebo - Pure Morning
Placebo - Nancy Boy
Placebo - Every You Every Me
Placebo - Bitter End, The
Placebo - Because I Want You
Plain White T's - Our Time Is Now
Plain White T's - Hey There Delilah
Plain White T's - Hate (I Really Don't Like You)
Plain White T's - 1, 2, 3, 4
Plan B - Deepest Shame
Plan B - iLL Manors 
Plan B - She Said
Plan B - Stay Too Long
Planet Earth - Other Side
Planet Earth - Blackout
Planet Earth - Bartender
Plant, Robert - Tall Cool One
Plant, Robert - Sea of Love [Honeydrippers]
Plant, Robert - If I Were a Carpenter
Plant, Robert - Gone Gone Gone (Done Moved On) [w/Alison Krauss]
Plant, Robert - Darkness, Darkness
Plant, Robert - Calling to You
Plant, Robert - 29 Palms
Plant, Robert -  see also  Led Zeppelin 
Plant, Robert -  see also  Honeydrippers, The 
Plastic Bertrand - Ca Plane Pour Moi
Plastic Ono Band - see  Lennon, John 
Platters, The - Smoke Gets in Your Eyes
Platters, The - Twilight Time
Platters, The - With This Ring
Platters, The - You'll Never Never Know
Platters, The - You've Got the Magic Touch
Platters, The - Sixteen Tons
Platters, The - Red Sails in the Sunset
Platters, The - Only You
Platters, The - My Prayer
Platters, The - Magic Touch, The
Platters, The - Harbor Lights
Platters, The - Great Pretender, The
Play - Us Against the World
Play - I'm Gonna Make You Love Me
Play - I Must Not Chase the Boys
Play - Can't Help Falling in Love with You
Playaz Circle - Duffle Bag Boy [w/Lil Wayne]
Player - Baby Come Back
Player - This Time I'm in It for Love
Player - What You Need
Playmates, The - Beep Beep
Pleasure P - Boyfriend #2
Pleasure P - Did You Wrong
Pleasure P - Under
Plies - What I Do [w/Chris Brown]
Plies - Shawty [w/T-Pain]
Plies - Please Excuse My Hands [w/Jamie Foxx & the Dream]
Plies - Hypnotized [w/Akon]
Plies - Hey Daddy (Daddy's Home) [w/Usher]
Plimsouls, The - Million Miles Away, A
Plumb - Hang On
Plumb - In My Arms
Plus One - Written on My Heart
Plus One - Start to Fly
Plus One - Let Me Be the One
Plus One - Kick Me
Plus One - I Don't Care
Plus One - Going Crazy
Plus One - Forever
Plus One - Camouflage
Plus One - Calling Down an Angel
PM Dawn - You Don't Love Me
PM Dawn - Set Adrift on Memory Bliss
PM Dawn - Looking Through Patient Eyes
PM Dawn - I'd Die Without You
PM Dawn - I Had No Right
Poco - Crazy Love
Poco - Heart of the Night
POD - Satellite
POD - School of Hard Knocks
POD - Sleeping Awake
POD - Will You
POD - Youth of the Nation
POD - Rock the Party (Off the Hook)
POD - Lights Out
POD - Goodbye for Now (radio edit)
POD - Change the World
POD - Boom
POD - America [w/Santana]
POD - Alive
Poe - Hey Pretty
Poe - Hello
Poe - Angry Johnny
Pogues, The - Dirty Old Town
Pogues, The - Fairytale of New York
Pogues, The - Irish Rover
Pogues, The - Rainy Night in Soho, A
Poindexter, Buster - Hot, Hot, Hot
Point of Grace - How You Live (Turn Up the Music)
Point of Grace - My God
Point of Grace - Yes, I Believe
Pointer Sisters, The - Yes We Can Can
Pointer Sisters, The - Slow Hand
Pointer Sisters, The - Santa Claus Is Coming to Town
Pointer Sisters, The - Neutron Dance
Pointer Sisters, The - Jump for My Love
Pointer Sisters, The - I'm So Excited
Pointer Sisters, The - He's So Shy
Pointer Sisters, The - Heaven Must Have Sent You [Bonnie Pointer solo]
Pointer Sisters, The - Fire
Pointer Sisters, The - Dare Me
Pointer Sisters, The - Automatic
Poison - Something to Believe In
Poison - Talk Dirty to Me
Poison - Unskinny Bop
Poison - Your Mama Don't Dance
Poison - Nothin' But a Good Time
Poison - Look What the Cat Dragged In
Poison - I Won't Forget You
Poison - I Want Action
Poison - Fallen Angel
Poison - Every Rose Has Its Thorn
Police, The - Roxanne
Police, The - Roxanne '97
Police, The - So Lonely
Police, The - Spirits in the Material World
Police, The - Synchronicity II
Police, The - Walking on the Moon
Police, The - Wrapped Around Your Finger
Police, The - Message in a Bottle
Police, The - King of Pain
Police, The - Can't Stand Losing You
Police, The - De Do Do Do, De Da Da Da
Police, The - Don't Stand So Close to Me
Police, The - Every Breath You Take
Police, The - Every Little Thing She Does Is Magic
Police, The - Fall Out
Police, The - Invisible Sun
Ponce, Carlos - Busco una Mujer
Poni-Tails, The - Born Too Late
Ponytails - Born Too Late
Poole, Brian - see  Tremeloes, The 
Pop Evil - Monster You Made
Pop Will Eat Itself - Can You U It
Pop, Iggy - Well Did You Evah [w/Debbie Harry]
Pop, Iggy - Real Wild Child
Pop, Iggy - Passenger, The
Pop, Iggy - Lust for Life
Pop, Iggy - Candy [w/Kate Pierson]
Popcaan - Only Man She Want
Portishead - Sour Times
Portrait - How Deep Is Your Love
Posey, Sandy - Single Girl
Posey, Sandy - Then He Kissed Me
Positive K - I Got a Man
Posner, Mike - With Your Love [w/Cher Lloyd]
Posner, Mike - Rocket Man [w/Bun B]
Posner, Mike - Please Don't Go
Posner, Mike - Cooler than Me
Postal Service, The - Be Still My Heart
Postcard - I'm Checking Out of This Heartbreak Hotel
Potbelleez, The - Don't Hold Back
Potbelleez, The - Are You with Me?
Potter, Grace - You and Tequila [ft. Kenny Chesney]
Potts, M.C. - I'm So Sorry
Potts, M.C. - Put Me Out of My Misery
Poveda, Donato - Bohemio Enamorado
Powderfinger - Nobody Sees
Powderfinger - Sunsets
Powderfinger - These Days
Powderfinger - Who Really Cares
Powderfinger - Wish You Well [Bernard Fanning solo]
Powderfinger - My Kind of Scene
Powderfinger - My Happiness
Powderfinger - All of the Dreamers
Powderfinger - Burn Your Name
Powderfinger - Don't Wanna Be Left Out
Powderfinger - I Don't Remember
Powderfinger - Lost and Running
Powell, Jesse - You
Powell, Mac - By His Wounds [w/Casting Crowns]
Powell, Mac - Over the Next Hill [w/Brooks & Dunn]
Power Station - Some Like It Hot
Power Station - Get It On
Powerman 5000 - Bombshell
Powerman 5000 - Free
Powerman 5000 - When Worlds Collide
Powers, Summerlyn - Alabama Kinda Girl
Powter, Daniel - Next Plane Home
Powter, Daniel - Free Loop
Powter, Daniel - Bad Day
Pozo-Seco Singers - I Can Make It with You
Pras - see  Michel, Pras 
Prata, Lucas - And She Said
Preciado, Julio, y Su Banda Perla del Pacifico - Me Caiste del Cielo
Preciado, Julio, y Su Banda Perla del Pacifico - La Silla Vacia
Precious - Rewind
Precious - Say It Again
Prefab Sprout - King of Rock 'n' Roll, The
Prefab Sprout - When Love Breaks Down
Presets, The - This Boy's in Love
Presets, The - Talk Like That
Presidents of the USA - Peaches
Presidents of the USA - Mach 5
Presidents of the USA - Lump
Presidents of the USA - Kitty
Presidents of the USA - Dune Buggy
Presidents of the USA - Cleveland Rocks [orig.Ian Hunter version]
Presley, Elvis - Paralyzed
Presley, Elvis - Party
Presley, Elvis - Patch It Up
Presley, Elvis - Peace in the Valley
Presley, Elvis - Pieces of My Life
Presley, Elvis - Playin' for Keeps
Presley, Elvis - Please Don't Stop Loving Me
Presley, Elvis - Pledging My Love
Presley, Elvis - Pocketful of Rainbows (G.I.Blues )
Presley, Elvis - Polk Salad Annie
Presley, Elvis - Polk Salad Annie (live)
Presley, Elvis - Poor Boy
Presley, Elvis - Power of My Love
Presley, Elvis - Paradise Hawaiian Style (Paradise Hawaiian Style)
Presley, Elvis - Only the Strong Survive
Presley, Elvis - Only Believe
Presley, Elvis - Never Been to Spain
Presley, Elvis - Never Ending
Presley, Elvis - New Orleans
Presley, Elvis - Next Step Is Love, The
Presley, Elvis - No More (Blue Hawaii)
Presley, Elvis - Oh Happy Day
Presley, Elvis - Old Shep
Presley, Elvis - One Boy Two Little Girls (Kissin' Cousins)
Presley, Elvis - One Broken Heart for Sale
Presley, Elvis - One Night
Presley, Elvis - One Night of Sin
Presley, Elvis - One Track Heart (Roustabout)
Presley, Elvis - Never Again
Presley, Elvis - Precious Lord
Presley, Elvis - Rubberneckin' (Paul Oakenfold remix)
Presley, Elvis - Run On
Presley, Elvis - Runaway (live)
Presley, Elvis - Santa Claus Is Back in Town
Presley, Elvis - Seeing Is Believing
Presley, Elvis - Sentimental Me
Presley, Elvis - Separate Ways
Presley, Elvis - Shake a Hand
Presley, Elvis - Shake, Rattle & Roll
Presley, Elvis - She Thinks I Still Care
Presley, Elvis - She Wears My Ring
Presley, Elvis - She's Not You
Presley, Elvis - Rubberneckin'
Presley, Elvis - Roustabout
Presley, Elvis - Rock-a-Hula Baby
Presley, Elvis - Promised Land, The
Presley, Elvis - Proud Mary
Presley, Elvis - Puppet on a String
Presley, Elvis - Put Your Hand in the Hand
Presley, Elvis - Rags to Riches
Presley, Elvis - Raised on Rock
Presley, Elvis - Ready Teddy
Presley, Elvis - Reconsider Baby
Presley, Elvis - Relax
Presley, Elvis - Release Me
Presley, Elvis - Return to Sender
Presley, Elvis - Rip It Up
Presley, Elvis - Shopping Around
Presley, Elvis - Mystery Train/Tiger Man
Presley, Elvis - Known Only to Him
Presley, Elvis - Little Sister
Presley, Elvis - Lonely Man [from Wild in the Country]
Presley, Elvis - Lonesome Cowboy
Presley, Elvis - Long Black Limousine
Presley, Elvis - Long Legged Girl
Presley, Elvis - Long Tall Sally
Presley, Elvis - Long Tall Sally/Whole Lotta Shakin' (medley)
Presley, Elvis - Love Coming Down
Presley, Elvis - Love Letters in the Sand
Presley, Elvis - Love Me
Presley, Elvis - Love Me Tender
Presley, Elvis - Love Me Tonight
Presley, Elvis - Little Less Conversation, A [JXL remix]
Presley, Elvis - Little Less Conversation, A
Presley, Elvis - Little Egypt [w/The Coasters]
Presley, Elvis - Ku-u-i-po
Presley, Elvis - Lady Loves Me, The [w/Ann Margaret]
Presley, Elvis - Last Farewell, The
Presley, Elvis - Lawdy Miss Clawdy
Presley, Elvis - Lawdy Miss Clawdy ('68 Comeback Special)
Presley, Elvis - Lead Me Guide Me
Presley, Elvis - Let It Be Me
Presley, Elvis - Let Me Be There
Presley, Elvis - Let Us Pray
Presley, Elvis - Let Yourself Go
Presley, Elvis - Like a Baby
Presley, Elvis - Little Bit of Green
Presley, Elvis - Lover Doll
Presley, Elvis - Loving You
Presley, Elvis - Money Honey
Presley, Elvis - Moody Blue
Presley, Elvis - Moonlight Swim
Presley, Elvis - My Babe
Presley, Elvis - My Baby Left Me
Presley, Elvis - My Boy
Presley, Elvis - My Happiness
Presley, Elvis - My Little Friend
Presley, Elvis - My Way
Presley, Elvis - My Way (live)
Presley, Elvis - My Way [Aloha Concert]
Presley, Elvis - My Wish Came True
Presley, Elvis - Miracle of the Rosary
Presley, Elvis - Mine
Presley, Elvis - Milky White Way
Presley, Elvis - Mabelline
Presley, Elvis - Make Me Know It
Presley, Elvis - Make the World Go Away
Presley, Elvis - Mama Liked the Roses
Presley, Elvis - Mansion Over the Hilltop
Presley, Elvis - Marguerita (Fun in Acapulco)
Presley, Elvis - Mary in the Morning
Presley, Elvis - Mean Woman Blues
Presley, Elvis - Memories
Presley, Elvis - Memphis Tennessee
Presley, Elvis - Mess of Blues, A
Presley, Elvis - Milkcow Blues Boogie
Presley, Elvis - Mystery Train
Presley, Elvis - Sing You Children
Presley, Elvis - Too Much
Presley, Elvis - Viva Las Vegas
Presley, Elvis - Walk a Mile in My Shoes
Presley, Elvis - Way Down
Presley, Elvis - We Call on Him
Presley, Elvis - We Can Make the Morning
Presley, Elvis - Wear My Ring Around Your Neck
Presley, Elvis - Wearin' That Loved on Look
Presley, Elvis - Welcome to My World [Aloha Concert]
Presley, Elvis - What a Wonderful Life
Presley, Elvis - What Now My Love [Aloha Concert]
Presley, Elvis - What'd I Say
Presley, Elvis - When It Rains It Really Pours
Presley, Elvis - Vino Dinero y Amor (Fun in Acapulco)
Presley, Elvis - US Male
Presley, Elvis - Until It's Time for You to Go
Presley, Elvis - Too Much [Aloha Concert]
Presley, Elvis - Too Much Monkey Business
Presley, Elvis - Treat Me Nice
Presley, Elvis - Treat Me Nice [Aloha Concert]
Presley, Elvis - Trouble
Presley, Elvis - Trouble & Guitar Man & '68 Comeback Special
Presley, Elvis - True Love Travels on a Gravel Road
Presley, Elvis - Trying to Get to You
Presley, Elvis - Tutti Frutti
Presley, Elvis - Twelfth of Never
Presley, Elvis - Twenty Days and Twenty Nights
Presley, Elvis - Unchained Melody
Presley, Elvis - When My Blue Moon Turns Gold Again
Presley, Elvis - Where Could I Go But to the Lord
Presley, Elvis - You Don't Have to Say You Love Me
Presley, Elvis - You Don't Have to Say You Love Me (lve@MadisonSq.Gdn)
Presley, Elvis - You Gave Me a Mountain
Presley, Elvis - You Gotta Stop (Easy Come Easy Go)
Presley, Elvis - You'll Never Walk Alone
Presley, Elvis - You'll Think of Me
Presley, Elvis - Young and Beautiful
Presley, Elvis - Your Cheating Heart
Presley, Elvis - Your Love's Been a Long Time Coming
Presley, Elvis - Your Time Hasn't Come Yet (Speedway)
Presley, Elvis - You're So Square Baby I Don't Care
Presley, Elvis - You're the Boss [w/Ann Margaret]
Presley, Elvis - You Can't Say No in Acapulco
Presley, Elvis - Yesterday
Presley, Elvis - World of Our Own, A
Presley, Elvis - Where Did They Go Lord
Presley, Elvis - Where Do You Come From
Presley, Elvis - Where No One Stands Alone
Presley, Elvis - Who Am I
Presley, Elvis - Whole Lotta Shakin' Goin On
Presley, Elvis - Wild in the Country
Presley, Elvis - Without Love (There Is Nothing)
Presley, Elvis - Wolf Call
Presley, Elvis - Wonder of You, The
Presley, Elvis - Wooden Heart
Presley, Elvis - Words
Presley, Elvis - Working on the Building
Presley, Elvis - You've Lost That Loving Feeling
Presley, Elvis - Tonight Is So Right for Love
Presley, Elvis - Singing Tree
Presley, Elvis - Stay Away Joe
Presley, Elvis - Steamroller Blues
Presley, Elvis - Stop Where You Are (Paradise Hawaiian Style)
Presley, Elvis - Stop, Look & Listen
Presley, Elvis - Stranger in My Own Hometown
Presley, Elvis - Stranger in the Crowd
Presley, Elvis - Stuck on You
Presley, Elvis - Such a Night
Presley, Elvis - Such an Easy Question
Presley, Elvis - Summer Kisses, Winter Tears
Presley, Elvis - Suppose
Presley, Elvis - Surrender
Presley, Elvis - Starting Today
Presley, Elvis - Stand By Me
Presley, Elvis - Spinout
Presley, Elvis - Slicin' Sand
Presley, Elvis - Slowly But Surely (Kissin' Cousins)
Presley, Elvis - Snowbird
Presley, Elvis - So Close Yet So Far
Presley, Elvis - So Glad You're Mine
Presley, Elvis - So High
Presley, Elvis - Soldier Boy
Presley, Elvis - Solitaire
Presley, Elvis - Somebody Bigger than You and I
Presley, Elvis - Something [Aloha Concert]
Presley, Elvis - Something Blue
Presley, Elvis - Spanish Eyes
Presley, Elvis - Susan When She Tried
Presley, Elvis - Suspicion
Presley, Elvis - There Goes My Everything
Presley, Elvis - There Is No God But God
Presley, Elvis - There's a Honky Tonk Angel
Presley, Elvis - There's Always Me
Presley, Elvis - They Remind Me Too Much of You
Presley, Elvis - Thing Called Love, A
Presley, Elvis - Thinking About You
Presley, Elvis - This Is Our Dance
Presley, Elvis - This Is the Story
Presley, Elvis - Thrill of Your Love
Presley, Elvis - Today Tomorrow and Forever
Presley, Elvis - Tomorrow Is Along Time
Presley, Elvis - That's When Your Heartache Begins
Presley, Elvis - That's Someone You Never Forget
Presley, Elvis - That's All Right
Presley, Elvis - Suspicious Minds
Presley, Elvis - Suspicious Minds [Aloha Concert]
Presley, Elvis - Sweet Angeline
Presley, Elvis - Sweet Caroline
Presley, Elvis - Swing Low, Sweet Chariot
Presley, Elvis - Sylvia
Presley, Elvis - Take My Hand, Precious Lord
Presley, Elvis - Talk About the Good Times
Presley, Elvis - Teddy Bear
Presley, Elvis - Teddy Bear/Don't Be Cruel (medley)
Presley, Elvis - Tell Me Why
Presley, Elvis - Tender Feeling
Presley, Elvis - Tomorrow Never Comes
Presley, Elvis - Kissin' Cousins
Presley, Elvis - Clean Up Your Own Back Yard
Presley, Elvis - Don't Cry Daddy
Presley, Elvis - Don't Leave Me Now
Presley, Elvis - Don't Think Twice
Presley, Elvis - Down By the Riverside/Saints Go Marching In
Presley, Elvis - Down in the Alley
Presley, Elvis - Early Mornin' Rain
Presley, Elvis - Echoes of Love (Kissin' Cousins)
Presley, Elvis - Edge of Reality
Presley, Elvis - Elvis Intro & CC Rider (live)
Presley, Elvis - End Theme
Presley, Elvis - Faded Love
Presley, Elvis - Fairytales
Presley, Elvis - Don't Be Cruel
Presley, Elvis - Don't Ask Me Why
Presley, Elvis - Don't
Presley, Elvis - C'mon Everybody
Presley, Elvis - Crawfish
Presley, Elvis - Crying in the Chapel
Presley, Elvis - Danny Boy
Presley, Elvis - Devil in Disguise
Presley, Elvis - Did You Ever Have One of Those Days Boys
Presley, Elvis - Dirty Dirty Feeling (Tickle Me)
Presley, Elvis - Dixieland Rock
Presley, Elvis - Do Not Disturb
Presley, Elvis - Do You Know Who I Am
Presley, Elvis - Doin' the Best I Can
Presley, Elvis - Doncha Think It's Time
Presley, Elvis - Fame and Fortune
Presley, Elvis - Farther Along
Presley, Elvis - Fountain of Love
Presley, Elvis - Frankie and Johnny
Presley, Elvis - From a Jack to a King
Presley, Elvis - Fun in Alcapulco
Presley, Elvis - Funny How Time Slips Away
Presley, Elvis - Gentle on My Mind
Presley, Elvis - GI Blues
Presley, Elvis - Girl I Never Loved, The (Clambake)
Presley, Elvis - Girl of Mine
Presley, Elvis - Girl of My Best Friend
Presley, Elvis - Girls Girls Girls
Presley, Elvis - Give Me the Right
Presley, Elvis - Forget Me Never
Presley, Elvis - For the Millionth and Last Time
Presley, Elvis - For the Heart (live in Memphis)
Presley, Elvis - Fever
Presley, Elvis - Find Out What's Happenin'
Presley, Elvis - Finders Keepers Losers Weepers
Presley, Elvis - First Time Ever I Saw Your Face (live)
Presley, Elvis - Flaming Star
Presley, Elvis - Follow That Dream
Presley, Elvis - Fool
Presley, Elvis - Fool Such as I, A
Presley, Elvis - Fools Fall in Love
Presley, Elvis - For Ol' Time Sake
Presley, Elvis - For the Good Times
Presley, Elvis - For the Heart
Presley, Elvis - Golden Coins (Harum Scarum)
Presley, Elvis - Cindy, Cindy
Presley, Elvis - Adam and Evil (Spinout)
Presley, Elvis - Angel
Presley, Elvis - Any Day Now
Presley, Elvis - Any Way You Want Me
Presley, Elvis - Anyone Could Fall in Love with You
Presley, Elvis - Anyplace in Paradise
Presley, Elvis - Anything That's Part of You
Presley, Elvis - Anyway You Want Me
Presley, Elvis - Are You Lonesome Tonight ('68 Comeback)
Presley, Elvis - Are You Lonesome Tonight?
Presley, Elvis - Are You Sincere
Presley, Elvis - As Long as I Have You
Presley, Elvis - Ask Me
Presley, Elvis - And the Grass Won't Pay No Mind
Presley, Elvis - And I Love You So
Presley, Elvis - American Trilogy
Presley, Elvis - After Loving You
Presley, Elvis - Ain't That Lovin' You Baby
Presley, Elvis - All I Needed Was Rain
Presley, Elvis - All Shook Up
Presley, Elvis - All That I Am
Presley, Elvis - Almost
Presley, Elvis - Almost Always True
Presley, Elvis - Almost in Love
Presley, Elvis - Always on My Mind
Presley, Elvis - Am I Ready
Presley, Elvis - Amazing Grace
Presley, Elvis - America the Beautiful
Presley, Elvis - Baby I Don't Care
Presley, Elvis - Baby, Let's Play House
Presley, Elvis - Bossa Nova Baby
Presley, Elvis - Boy Like Me, a Girl Like You, A
Presley, Elvis - Bridge Over Troubled Water
Presley, Elvis - Bridge Over Troubled Water (live)
Presley, Elvis - Bringin' It Back
Presley, Elvis - Burning Love
Presley, Elvis - Burning Love (Aloha Concert)
Presley, Elvis - By and By
Presley, Elvis - Can't Help Falling in Love
Presley, Elvis - Can't Help Falling in Love [Aloha Concert]
Presley, Elvis - CC Rider [Aloha Concert]
Presley, Elvis - Change of Habit
Presley, Elvis - Bosom of Abraham
Presley, Elvis - Blueberry Hill/I Can't Stop Loving (Medley)
Presley, Elvis - Blueberry Hill
Presley, Elvis - Beach Boy Blues
Presley, Elvis - Beyond the Bend (Happened at the Worlds Fair)
Presley, Elvis - Big Boss Man
Presley, Elvis - Big Hunk o' Love, A
Presley, Elvis - Big Love, Big Heartache
Presley, Elvis - Bigger They Are, Harder They Fall
Presley, Elvis - Blue Christmas
Presley, Elvis - Blue Eyes Crying in the Rain
Presley, Elvis - Blue Hawaii
Presley, Elvis - Blue Moon
Presley, Elvis - Blue Moon of Kentucky
Presley, Elvis - Blue Suede Shoes
Presley, Elvis - Charro (Charro)
Presley, Elvis - Good Luck Charm
Presley, Elvis - If That Isn't Love
Presley, Elvis - I'm Not the Marrying Kind
Presley, Elvis - I'm So Lonesome I Could Cry
Presley, Elvis - I'm Yours
Presley, Elvis - Impossible Dream, The
Presley, Elvis - In My Father's House
Presley, Elvis - In the Ghetto
Presley, Elvis - Indescribably Blue
Presley, Elvis - Inherit the Wind (live)
Presley, Elvis - Is It So Strange
Presley, Elvis - Island of Love
Presley, Elvis - It Ain't No Big Thing
Presley, Elvis - It Feels So Right
Presley, Elvis - I'm Left, Your Right, She's Gone
Presley, Elvis - I'm Leavin'
Presley, Elvis - I'm Gonna Walk Dem Golden Stairs
Presley, Elvis - If We Never Meet Again
Presley, Elvis - If You Don't Come Back
Presley, Elvis - If You Love Me
Presley, Elvis - If You Talk in Your Sleep
Presley, Elvis - I'll Be Back
Presley, Elvis - I'll Be Home for Christmas
Presley, Elvis - I'll Be There
Presley, Elvis - I'll Hold You in My Heart
Presley, Elvis - I'll Never Fall in Love Again
Presley, Elvis - I'll Never Know
Presley, Elvis - I'll Remember You [Aloha Concert]
Presley, Elvis - I'm Falling in Love Tonight
Presley, Elvis - It Hurts Me
Presley, Elvis - It Keeps Right on Hurtin'
Presley, Elvis - Johnny B. Goode
Presley, Elvis - Joshua Fit the Battle
Presley, Elvis - Just a Little Bit
Presley, Elvis - Just Call Me Lonesome
Presley, Elvis - Just Can't Help Falling in Love
Presley, Elvis - Just Pretend
Presley, Elvis - Just Tell Her Jim Said Hello
Presley, Elvis - Kentucky Rain
Presley, Elvis - King Creole
Presley, Elvis - King Is Dead, The
Presley, Elvis - King of the Whole Wide World
Presley, Elvis - Kismet (Harum Scarum)
Presley, Elvis - Jailhouse Rock
Presley, Elvis - I've Lost You
Presley, Elvis - I've Got Confidence
Presley, Elvis - It's a Long, Lonely Highway
Presley, Elvis - It's a Matter of Time
Presley, Elvis - Its a Sin
Presley, Elvis - It's Easy for You
Presley, Elvis - It's Impossible
Presley, Elvis - It's Midnight
Presley, Elvis - It's Now or Never
Presley, Elvis - It's Only Love
Presley, Elvis - It's Over
Presley, Elvis - It's Still Here
Presley, Elvis - It's Your Baby, You Rock It
Presley, Elvis - I've Got a Thing About You Baby
Presley, Elvis - Kiss Me Quick
Presley, Elvis - If I'm a Fool for Loving You
Presley, Elvis - Good Rockin' Tonight
Presley, Elvis - Heartbreak Hotel
Presley, Elvis - Heartbreak Hotel/Hound Dog/ All Shook Up
Presley, Elvis - He'll Have to Go
Presley, Elvis - Help Me Make It Through the Night (live)
Presley, Elvis - Here Comes Santa Claus
Presley, Elvis - His Hand in Mine
Presley, Elvis - His Latest Flame
Presley, Elvis - Home Is Where the Heart Is
Presley, Elvis - Hound Dog
Presley, Elvis - How Great Thou Art
Presley, Elvis - How the Web Was Woven
Presley, Elvis - How's the World Treating You
Presley, Elvis - Heart of Rome
Presley, Elvis - He Touched Me
Presley, Elvis - Hawaiian Wedding Song
Presley, Elvis - Good Times Charlie's (Got the Blues)
Presley, Elvis - Gospel Medley ('68 Comeback Special)
Presley, Elvis - Got a Lot o' Livin' to Do
Presley, Elvis - Got My Mojo Workin'
Presley, Elvis - Green Green Grass of Home
Presley, Elvis - Guitar Man
Presley, Elvis - Guitar Man/What'd I Say
Presley, Elvis - Happy Ending
Presley, Elvis - Hard Headed Woman
Presley, Elvis - Hard Knocks (Roustabout)
Presley, Elvis - Have I Told You Lately That I Love You
Presley, Elvis - Hawaiian Sunset (Blue Hawaii)
Presley, Elvis - Hurt
Presley, Elvis - If I Can Dream
Presley, Elvis - I Need Somebody
Presley, Elvis - I Need Your Love Tonight
Presley, Elvis - I Really Don't Want to Know
Presley, Elvis - I Shall Not Be Moved
Presley, Elvis - I Slipped I Stumbled I Fell (Wild in the Country)
Presley, Elvis - I Want to Be Free
Presley, Elvis - I Want You with Me
Presley, Elvis - I Want You, I Need You, I Love You
Presley, Elvis - I Was the One
Presley, Elvis - I Washed My Hands in Muddy Water
Presley, Elvis - I, John
Presley, Elvis - If Every Day Was Like Christmas
Presley, Elvis - I Miss You
Presley, Elvis - I Just Can't Help Believing
Presley, Elvis - I Gotta Know
Presley, Elvis - I Beg of You
Presley, Elvis - I Believe
Presley, Elvis - I Believe in the Man in the Sky
Presley, Elvis - I Can Help
Presley, Elvis - I Can't Stop Loving You
Presley, Elvis - I Don't Want to Be Tied (Girls, Girls, Girls)
Presley, Elvis - I Feel So Bad
Presley, Elvis - I Feel That I've Known You Forever
Presley, Elvis - I Forgot to Remember to Forget
Presley, Elvis - I Got a Feeling in My Body
Presley, Elvis - I Got a Woman
Presley, Elvis - I Got a Woman/Amen
Presley, Elvis - I Got Stung
Presley, Lisa Marie - Sinking In
Presley, Lisa Marie - Lights Out
Preston, Billy - Nothing from Nothing
Preston, Billy - Will It Go 'round in Circles
Preston, Billy - With You I'm Born Again [w/Syreeta]
Preston, Johnny - Running Bear
Preston, Johnny - Cradle of Love
Pretenders, The - Kid (Slow Live Version)
Pretenders, The - Message of Love
Pretenders, The - Middle of the Road
Pretenders, The - My City Was Gone
Pretenders, The - Mystery Achievement
Pretenders, The - Night in My Veins
Pretenders, The - Show Me
Pretenders, The - Talk of the Town
Pretenders, The - Thin Line Between Love & Hate
Pretenders, The - I'll Stand By You
Pretenders, The - I Got You Babe [UB40 & Chrissie Hynde]
Pretenders, The - 2000 Miles
Pretenders, The - Back on the Chain Gang
Pretenders, The - Brass in Pocket (I'm Special)
Pretenders, The - Breakfast in Bed [UB40 & Chrissie Hynde]
Pretenders, The - Don't Get Me Wrong
Pretenders, The - Everyday Is Like Sunday
Pretenders, The - Goodbye
Pretenders, The - Human
Pretenders, The - Hymn to Her
Pretty Poison - Catch Me (I'm Falling)
Pretty Ricky - Your Body
Pretty Ricky - Push It Baby [w/Sean Paul]
Pretty Ricky - On the Hotline
Pretty Ricky - Love Like Honey
Pretty Ricky - Cuddle Up [w/Butta Creame]
Previne, Dorothy - Don't Bring Lulu
Price, Alan - Simon Smith and His Amazing Dancing Bear
Price, Alan - House That Jack Built, The [Alan Price Set]
Price, Alan -  see also  Animals, The 
Price, Kelly - You Should've Told Me
Price, Kelly - Not My Daddy
Price, Kelly - Himaholic
