R Kelly - see  Kelly, R 
Rimes, LeAnn - Give
Rimes, LeAnn - God Bless America
Rimes, LeAnn - Life Goes On
Rimes, LeAnn - Last Thing on My Mind, The [w/Ronan Keating]
Rimes, LeAnn - I'll Get Even with You
Rimes, LeAnn - I Want to Be a Cowboy's Sweetheart
Rimes, LeAnn - I Need You
Rimes, LeAnn - I Know Who Holds Tomorrow
Rimes, LeAnn - I Believe in You
Rimes, LeAnn - Hurt Me
Rimes, LeAnn - How Do I Live [dance version]
Rimes, LeAnn - How Do I Live
Rimes, LeAnn - Honestly
Rimes, LeAnn - Good Friend & a Glass of Wine
Ringside - Tired of Being Sorry
Rio Grand - Kill Me Now
Rios, Miguel - Song of Joy
Rip Chords, The - Hey Little Cobra
Ripperton, Minnie - Lovin' You
Rise Against - Swing Life Away
Rise Against - Savior
Rise Against - Ready to Fall
Rise Against - Good Left Undone, The
Ritchie, Shane - I'm Your Man
Ritter, Josh - Hopeful
Ritter, Tex - I Dreamed of a Hillbilly Heaven
Ritter, Tex - Jealous Heart
Ritter, Tex - You Two-Timed Me One Time Too Often
Riva - Who Do You Love Now (stringer) [w/Dannii Minogue]
Rival Sons - Keep on Swinging
River City Gang - This Old Town
River Road - Breathless
River Road - I Broke It I'll Fix It
River Road - Nickajack
River Road - Somebody Will
Rivera, Jerry - Vuela Muy Alto
Rivera, Jerry - Si T
Rivera, Jerry - Quiero
Rivera, Jerry - Muero
Rivera, Jerry - Mi Libertad
Rivera, Jerry - Herida Mortal
Rivera, Lupillo - Tu y las Nubes
Rivera, Lupillo - Tu Recuerdo y Yo
Rivera, Lupillo - Sufriendo a Solas
Rivera, Lupillo - Despreciado
Rivera, Lupillo - Dame por Muerto (version en Vivo)
Rivers, Bob - Wreck the Malls
Rivers, Bob - What If Eminem Did Jingle Bells
Rivers, Bob - Walkin' Round in Women's Underwear
Rivers, Bob - Twelve Pains of Christmas, The
Rivers, Bob - I Am Santa Claus
Rivers, Johnny - Tracks of My Tears, The
Rivers, Johnny - Te Me Perdiste
Rivers, Johnny - Swayin' to the Music (Slow Dancing)
Rivers, Johnny - Seventh Son
Rivers, Johnny - Secret Agent Man
Rivers, Johnny - Rockin' Pneumonia & the Boogie Woogie Flu
Rivers, Johnny - Poor Side of Town, The
Rivers, Johnny - Mountain of Love
Rivers, Johnny - Midnight Special, The
Rivers, Johnny - Baby, I Need Your Loving
Rivieras, The - California Sun
Rivingtons, The - Papa Oo Mau Mau
Rizzie Kicks - Mama Do the Hump
Rizzle Kicks - When I Was a Youngster
Rizzle Kicks - Traveller's Chant
Rizzle Kicks - Mama Do the Hump
Rizzle Kicks - Lost Generation
Rizzle Kicks - Down with the Trumpets
Roachford - Cuddly Toy
Roachford - Only to Be with You
Roachford - Way I Feel, The
Road Hammers, The - Girl on the Billboard
Robbie Seay Band - Rise
Robbins, Dennis - Mona Lisa on Cruise Control
Robbins, Marty - Knee Deep in the Blues
Robbins, Marty - My Woman, My Woman, My Wife
Robbins, Marty - Padre
Robbins, Marty - Return to Me
Robbins, Marty - Ribbon of Darkness
Robbins, Marty - Ruby Ann
Robbins, Marty - She Was Only Seventeen
Robbins, Marty - Singing the Blues
Robbins, Marty - Some Memories Just Won't Die
Robbins, Marty - Stairway of Love
Robbins, Marty - Story of My Life, The
Robbins, Marty - Tonight Carmen
Robbins, Marty - Walking Piece of Heaven
Robbins, Marty - White Sport Coat and a Pink Carnation
Robbins, Marty - Just Married
Robbins, Marty - Joli Girl
Robbins, Marty - It's Your World
Robbins, Marty - Among My Souvenirs
Robbins, Marty - Begging to You
Robbins, Marty - Big Iron
Robbins, Marty - Cowboy in the Continental Suit, The
Robbins, Marty - Devil Woman
Robbins, Marty - Don't Worry
Robbins, Marty - El Paso
Robbins, Marty - El Paso City
Robbins, Marty - It's a Sin
Robbins, Marty - I'll Go on Alone
Robbins, Marty - I Walk Alone
Robbins, Marty - I Couldn't Keep From Crying
Robbins, Marty - Hark! The Herald Angels Sing
Robbins, Marty - Girl with Gardenias in Her Hair, The
Roberson, Eric - Borrow You
Robert & Johnny - We Belong Together
Roberts, Julie - Wake Up Older
Roberts, Julie - Men and Mascara
Roberts, Julie - Girl Next Door
Roberts, Julie - Chance, The
Roberts, Julie - Break Down Here
Roberts, Juliet - I Want You
Roberts, Malcolm - Love Is All
Roberts, Mica - Things a Mama Don't Know [w/Toby Keith]
Roberts, Mica - Days You Live For
Roberts, Rhydian - When You Believe
Robertson, Robbie -  see also  Band, The 
Robertson, Robbie - Somewhere Down the Crazy River
Robin S. - Show Me Love
Robin S. - Luv 4 Luv
Robins, The -  see also  Coasters, The 
Robins, The - Smokey Joe's Cafe
Robinson, Porter - Easy [w/Mat Zo]
Robinson, Porter - Language
Robinson, Smokey - Ooh Baby, Baby
Robinson, Smokey - Shop Around
Robinson, Smokey - Tears of a Clown, The
Robinson, Smokey - Tracks of My Tears, The
Robinson, Smokey - You've Really Got a Hold on Me
Robinson, Smokey - One Heartbeat
Robinson, Smokey - My Girl
Robinson, Smokey - I Second That Emotion
Robinson, Smokey - Going to a Go-Go
Robinson, Smokey - Cruisin'
Robinson, Smokey - Being with You
Robinson, Smokey - Baby Baby Don't Cry
Robinson, Smokey -  see also  Miracles, The 
Robinson, Vickie Sue - Turn the Beat Around
Robison, Bruce - Good Life, The
Robison, Bruce - Travelin' Soldier
Robison, Bruce - What Would Willie Do
Robison, Charlie - Right Man for the Job
Robison, Charlie - My Hometown
Robison, Charlie - I Want You Bad
Robison, Charlie - Barlight
Robson & Jerome - Saturday Night at the Movies
Robson & Jerome - Up on the Roof
Robyn - With Every Heartbeat [w/Kleerup]
Robyn - With Every Heartbeat
Robyn - Who's That Girl
Robyn - Show Me Love
Robyn - How Do You Know
Robyn - Handle Me
Robyn - Do You Really Want Me (Show Respect)
Robyn - Do You Know
Robyn - Call Your Girlfriend
Robyn - Be Mine
Rochelle & the Candles - Once Upon a Time
Rock Kills Kid - Paralyzed
Rockell - Dance, The
Rockell - Tears
Rockin' Berries, The - He's in Town
Rockin' Berries, The - Poor Man's Son
Rocko - Umma Do Me
Rockwell - Somebody's Watching Me [w/Michael Jackson]
Rocky Horror Picture Show, The - Science Fiction Double Feature
Rocky Horror Picture Show, The - Science Fiction Double Feature: reprise
Rocky Horror Picture Show, The - Super Heroes
Rocky Horror Picture Show, The - Sweet Transvestite
Rocky Horror Picture Show, The - Sword of Damocles, The
Rocky Horror Picture Show, The - Time Warp, The
Rocky Horror Picture Show, The - Touch a Touch a Touch Me
Rocky Horror Picture Show, The - Wild and Untamed Thing
Rocky Horror Picture Show, The - Rose Tint My World Floor Show
Rocky Horror Picture Show, The - Rocky Horror Picture Show - Sweet Transvestite
Rocky Horror Picture Show, The - Planet Schmanet Janet
Rocky Horror Picture Show, The - Over at the Frankenstein Place
Rocky Horror Picture Show, The - I'm Going Home
Rocky Horror Picture Show, The - I Can Make You a Man : reprise
Rocky Horror Picture Show, The - I Can Make You a Man
Rocky Horror Picture Show, The - Hot Patootie Bless My Soul
Rocky Horror Picture Show, The - Fanfare Don't Dream It
Rocky Horror Picture Show, The - Eddie
Rocky Horror Picture Show, The - Dammit Janet
Rodgers, Clodagh - Jack in the Box
Rodgers, Jimmie - Honeycomb
Rodgers, Jimmie - Kisses Sweeter than Wine
Rodgers, Jimmie - Oh Oh I'm Falling in Love Again
Rodman, Judy - Until I Met You
Rodriguez, Johnny - You Can Say That Again
Rodriguez, Johnny - You Always Come Back to Hurting Me
Rodriguez, Johnny - That's the Way Love Goes
Rodriguez, Johnny - Ridin' My Thumb to Mexico
Rodriguez, Johnny - Pass Me By (If You're Only Passing Through)
Rodriguez, Johnny - Love Put a Song in My Heart
Rodriguez, Johnny - Just Get Up and Close the Door
Rodriguez, Johnny - I Just Can't Get Her Out of My Mind
Rodriguez, Johnny - Dance with Me (Just One More Time)
Roe, Tommy - Sweet Pea
Roe, Tommy - Sheila
Roe, Tommy - Everybody
Roe, Tommy - Dizzy
Roger - I Want to Be Your Man
Rogers, Jimmie - Honeycomb
Rogers, Julie - Wedding, The
Rogers, Kenny - You Decorated My Life
Rogers, Kenny - She Believes in Me
Rogers, Kenny - Scarlet Fever
Rogers, Kenny - Ruby, Don't Take Your Love to Town [w/1st Edition]
Rogers, Kenny - Ruby (Don't Take Your Love to Town)
Rogers, Kenny - Reuben James
Rogers, Kenny - Ol' Red
Rogers, Kenny - My World Is Over [w/Whitney Duncan]
Rogers, Kenny - Morning Desire
Rogers, Kenny - Missing You
Rogers, Kenny - Lucille
Rogers, Kenny - Love Will Turn You Around
Rogers, Kenny - Love the World Away
Rogers, Kenny - Slow Dance More
Rogers, Kenny - Someone Must Feel Like a Fool Tonight
Rogers, Kenny - With Bells on [w/Dolly Parton]
Rogers, Kenny - What Are We Doin' in Love [w/Dottie West]
Rogers, Kenny - We've Got Tonight [w/Sheena Easton]
Rogers, Kenny - Twenty Years Ago
Rogers, Kenny - Tomb of Unknown Love
Rogers, Kenny - Together Again [w/Dottie West]
Rogers, Kenny - Til I Can Make It on My Own [w/Dottie West]
Rogers, Kenny - Through the Years
Rogers, Kenny - There You Go Again
Rogers, Kenny - Sweet Music Man
Rogers, Kenny - Sunshine
Rogers, Kenny - Something Burning
Rogers, Kenny - Love or Something Like It
Rogers, Kenny - Love Is Strange [w/Dolly Parton]
Rogers, Kenny - Gambler, The
Rogers, Kenny - Every Time Two Fools Collide [w/Dottie West]
Rogers, Kenny - Don't Fall in Love with a Dreamer [w/Kim Carnes]
Rogers, Kenny - Daytime Friends
Rogers, Kenny - Crazy
Rogers, Kenny - Coward of the County
Rogers, Kenny - Buy Me a Rose
Rogers, Kenny - Buried Treasure
Rogers, Kenny - Beautiful (All That You Could Be)
Rogers, Kenny - Anyone Who Isn't Me Tonight [w/Dottie West]
Rogers, Kenny - All My Life
Rogers, Kenny - All I Ever Need Is You [w/Dottie West]
Rogers, Kenny - Greatest, The
Rogers, Kenny - Handprints on the Wall
Rogers, Kenny - Harder Cards
Rogers, Kenny - Lady
Rogers, Kenny - Just Dropped In
Rogers, Kenny - Islands in the Stream [w/Dolly Parton]
Rogers, Kenny - Islands in the Stream [Comic Relief version] [w/Dolly Parton]
Rogers, Kenny - I'm Missing You
Rogers, Kenny - If You Want to Find Love
Rogers, Kenny - If I Knew Then What I Know Now
Rogers, Kenny - He Will, She Knows
Rogers, Kenny - Homeland
Rogers, Kenny - I Can't Unlove You
Rogers, Kenny - I Don't Need You
Rogers, Kenny - I Prefer the Moonlight
Rogers, Roy & Dale Evans - Happy Trails
Rogue Traders - What You're On
Rogue Traders - We're Coming Home
Rogue Traders - Way to Go
Rogue Traders - Watching You
Rogue Traders - Voodoo Child
Rogue Traders - I Never Liked You
Rogue Traders - Don't You Wanna Feel
Rogue Traders -  see also  Bassingthwaighte, Natalie 
Rojas, Tito - Por Mujeres Como Tu
Rojas, Tito - Que Mas T
Roll Deep - Green Light
Roll Deep - Good Times [w/Jodie Connor]
Rolling Stones, The - Spider and the Fly, The
Rolling Stones, The - Some Girls
Rolling Stones, The - Si Si Je Suis Un Rock Star [Bill Wyman solo]
Rolling Stones, The - She's So Cold
Rolling Stones, The - Shattered
Rolling Stones, The - Satisfaction, (I Can't Get No)
Rolling Stones, The - Ruby Tuesday
Rolling Stones, The - Rock and a Hard Place
Rolling Stones, The - Rip This Joint
Rolling Stones, The - Play with Fire
Rolling Stones, The - Paint It Black
Rolling Stones, The - Out of Tears
Rolling Stones, The - Not Fade Away
Rolling Stones, The - Mother's Little Helper
Rolling Stones, The - Star Star
Rolling Stones, The - Start Me Up
Rolling Stones, The - Street Fighting Man
Rolling Stones, The - You Got Me Rocking
Rolling Stones, The - You Can't Always Get What You Want
Rolling Stones, The - Wild Horses
Rolling Stones, The - Waiting on a Friend
Rolling Stones, The - Visions of Paradise [Mick Jagger solo]
Rolling Stones, The - Undercover of the Night
Rolling Stones, The - Under My Thumb
Rolling Stones, The - Tumbling Dice
Rolling Stones, The - Time Is on My Side
Rolling Stones, The - Tell Me High Tide
Rolling Stones, The - Tell Me (You're Coming Back)
Rolling Stones, The - T.H.E. (The Hardest Ever) [Will.I.Am, Jennifer Lopez & Mick Jagger]
Rolling Stones, The - Sympathy for the Devil
Rolling Stones, The - Streets of Love
Rolling Stones, The - Mixed Emotions
Rolling Stones, The - Miss You
Rolling Stones, The - Fool to Cry
Rolling Stones, The - Emotional Rescue
Rolling Stones, The - Doo Doo Doo Doo Doo (Heartbreaker)
Rolling Stones, The - Don't Stop
Rolling Stones, The - Dead Flowers
Rolling Stones, The - Dance Little Sister
Rolling Stones, The - Carol
Rolling Stones, The - B-tch
Rolling Stones, The - Brown Sugar
Rolling Stones, The - Beast of Burden
Rolling Stones, The - As Tears Go By
Rolling Stones, The - Angie
Rolling Stones, The - Ain't Too Proud to Beg
Rolling Stones, The - 19th Nervous Breakdown
Rolling Stones, The - Get Off of My Cloud
Rolling Stones, The - Gimme Shelter
Rolling Stones, The - God Gave Me Everything [Mick Jagger solo]
Rolling Stones, The - Midnight Rambler
Rolling Stones, The - Lonely Without You (This Christmas) [Mick Jagger & Joss Stone]
Rolling Stones, The - Little Red Rooster
Rolling Stones, The - Little Queenie
Rolling Stones, The - Let's Spend the Night Together
Rolling Stones, The - Let It Bleed
Rolling Stones, The - Last Time, The
Rolling Stones, The - Jumpin' Jack Flash
Rolling Stones, The - Happy
Rolling Stones, The - Harlem Shuffle, The
Rolling Stones, The - Honky Tonk Women
Rolling Stones, The - I Just Wanna Make Love to You
Rolling Stones, The - It's All Over Now
Rolling Stones, The - It's Only Rock n' Roll (But I Like It)
Roman Holiday - Stand By
Romantics, The - Talking in Your Sleep
Romantics, The - What I Like About You
Romeo Void - Never Say Never
Ronettes, The - Be My Baby
Ronettes, The - Frosty the Snowman
Ronettes, The - I Saw Mommy Kissing Santa Claus
Ronettes, The - Sleigh Ride
Ronettes, The - Walking in the Rain
Ronson, Mark - Valerie [w/Amy Winehouse]
Ronson, Mark - Stop Me [w/Daniel Merriweather]
Ronson, Mark - Oh My God [w/Lily Allen]
Ronson, Mark - Just [w/Alex Greenwald]
Ronson, Mark - Anywhere in the World [w/Katy B (London Olympics 2012)]
Ronstadt, Linda - River for Him, A
Ronstadt, Linda - Poor Poor Pitiful Me
Ronstadt, Linda - Perfidia
Ronstadt, Linda - Paloma Blanca
Ronstadt, Linda - Ooh Baby Baby
Ronstadt, Linda - Oh No, Not My Baby
Ronstadt, Linda - My Funny Valentine
Ronstadt, Linda - Mohammed's Radio
Ronstadt, Linda - Mean to Me
Ronstadt, Linda - Lover Man
Ronstadt, Linda - Love Is a Rose
Ronstadt, Linda - Silver Threads & Golden Needles
Ronstadt, Linda - Someone to Lay Down Beside Me
Ronstadt, Linda - You're No Good
Ronstadt, Linda - When You Wish Upon a Star
Ronstadt, Linda - When Will I Be Loved
Ronstadt, Linda - When I Fall in Love
Ronstadt, Linda - What'll I Do
Ronstadt, Linda - Walk On
Ronstadt, Linda - Tracks of My Tears
Ronstadt, Linda - That'll Be the Day
Ronstadt, Linda - Somewhere Out There [w/James Ingram]
Ronstadt, Linda - Something's Wrong with My Baby [w/Aaron Neville]
Ronstadt, Linda - Someone to Watch Over Me
Ronstadt, Linda - Long Long Time
Ronstadt, Linda - La Cigarra
Ronstadt, Linda - Just One Look
Ronstadt, Linda - En Mi Soledad
Ronstadt, Linda - Don't Know Much [w/Aaron Neville]
Ronstadt, Linda - Different Drum [w/the Stone Ponies]
Ronstadt, Linda - Desperado
Ronstadt, Linda - Cry Like a Rainstorm
Ronstadt, Linda - Crazy Arms
Ronstadt, Linda - Can't We Be Friends
Ronstadt, Linda - Blue Train, The
Ronstadt, Linda - Blue Bayou
Ronstadt, Linda - Am I Blue?
Ronstadt, Linda - All My Life [w/Aaron Neville]
Ronstadt, Linda - Faithless Love
Ronstadt, Linda - Frenesi
Ronstadt, Linda - I've Got a Crush on You
Ronstadt, Linda - It's So Easy
Ronstadt, Linda - It Doesn't Matter Anymore
Ronstadt, Linda - I'll Be Home for Christmas
Ronstadt, Linda - I Can't Help It If I'm Still in Love with You
Ronstadt, Linda - Hurt So Bad
Ronstadt, Linda - How Do I Make You
Ronstadt, Linda - High Sierra
Ronstadt, Linda - Heatwave
Ronstadt, Linda - Heartbeats Accelerating
Ronstadt, Linda - Guantanamera
Rooftop Singers, The - Walk Right In
Room 5 - Make Luv [w/Oliver Cheatham]
Roommates, The - Glory of Love, The
Rooster - Come Get Some
Rooster - Deep and Meaningless
Rooster - Staring at the Sun
Rooster - You're So Right for Me
Roots, The - Whisper in the Wind [w/Joss Stone & Betty Wright]
Roots, The - Old Songs, The [w/Betty Wright]
Roots, The - Grapes on a Vine [w/Betty Wright & Lil Wayne]
Roots, The - Don't Say Nuthin'
Rosa, Gilberto Santa - Pero No Me Ama
Rosa, Gilberto Santa - Si Te Dijeron (Bolero)
Rose Royce - Wishing on a Star
Rose Royce - Ooh Boy
Rose Royce - Love Don't Live Here Anymore
Rose Royce - Is It Love You're After
Rose Royce - I'm Going Down
Rose Royce - I Wanna Get Next to You
Rose Royce - Car Wash
Rose, Amy - I Just Want You to Know
Rose, Clarice - Mile a Minute, A
Rose, David - Stripper, The (instrumental)
Rose, Katy - Overdrive
Rosie & the Originals - Angel Baby
Ross, Diana - Someday We'll Be Together
Ross, Diana - Reflections [The Supremes]
Ross, Diana - Reach Out and Touch
Ross, Diana - Not Over You Yet
Ross, Diana - My Favorite Things [The Supremes]
Ross, Diana - Muscles
Ross, Diana - Missing You
Ross, Diana - Stop in the Name of Love
Ross, Diana - Theme from Mahogany
Ross, Diana - Touch Me in the Morning
Ross, Diana - Upside Down
Ross, Diana - Waiting in the Wings
Ross, Diana - When You Tell Me That You Love Me [w/Westlife]
Ross, Diana - Why Do Fools Fall in Love
Ross, Diana - You Are Everything [w/Marvin Gaye]
Ross, Diana - You're a Special Part of Me [w/Marvin Gaye]
Ross, Diana - Mirror Mirror
Ross, Diana - Love Hangover
Ross, Diana - Ain't No Mountain High Enough
Ross, Diana - Baby Love
Ross, Diana - Best Year of My Life, The
Ross, Diana - Boss, The
Ross, Diana - Chain Reaction
Ross, Diana - Do You Know Where You're Going To
Ross, Diana - Ease on Down the Road [w/Michael Jackson]
Ross, Diana - Endless Love [w/Lionel Richie]
Ross, Diana - Good Morning Heartache
Ross, Diana - Love Child
Ross, Diana - Last Time I Saw Him, The
Ross, Diana - It's My Turn
Ross, Diana - I'm Still Waiting
Ross, Diana - I'm Gonna Make You Love Me
Ross, Diana - I'm Coming Out
Ross, Diana - Home
Ross, Diana & the Supremes - see  Supremes, The 
Ross, Murray - No More Blues
Ross, Murray - Singing in the Rain
Ross, Murray - Swinging on a Star
Ross, Murray - There'll Be Some Changes Made
Ross, Murray - They Can't Take That Away from Me
Ross, Murray - Volare
Ross, Murray - Way She Loves Me, The
Ross, Murray - Why Don't You Do Right
Ross, Murray - You're Something
Ross, Murray - Nature Boy
Ross, Murray - It's a Blue World
Ross, Murray - Candy Man, The
Ross, Murray - Come Fly with Me
Ross, Murray - God Bless the Child
Ross, Murray - How High the Moon
Ross, Murray - I Apologize
Ross, Murray - I Can't Get Started
Ross, Murray - I Should Care
Ross, Murray - I Wanna Be Around
Ross, Murray - In Solitude
Ross, Rick - Touch My Body [w/Mariah Carey & The Dream]
Ross, Rick - Speedin' [w/R. Kelly]
Ross, Rick - Hustlin'
Ross, Rick - Here I Am [w/Nelly & Avery Storm]
Rossdale, Gavin -  see also  Bush 
Rossdale, Gavin - Adrenaline
Rossdale, Gavin - Love Remains the Same
Rossington-Collins Band, The - Don't Misunderstand Me
Roth, Asher - Be By Myself [w/Cee-Lo]
Roth, Asher - I Love College
Roth, David Lee - Yankee Rose
Roth, David Lee - Just Like Paradise
Roth, David Lee - Just a Gigolo/I Ain't Got Nobody
Roth, David Lee - California Girls
Roth, David Lee -  see also  Van Halen 
Rothberg, Patti - Inside
Rowland, Kelly - Lay It on Me [w/Big Sean]
Rowland, Kelly - Like This [w/Eve]
Rowland, Kelly - Stole
Rowland, Kelly - Train on a Track
Rowland, Kelly - When Love Takes Over [w/David Guetta]
Rowland, Kelly - Work (Freemasons mix)
Rowland, Kelly - Work (Put It In)
Rowland, Kelly - Keep It Between Us
Rowland, Kelly - Here We Go [w/Trina]
Rowland, Kelly - Favor [w/Lonny Bereal]
Rowland, Kelly - Down for Whatever
Rowland, Kelly - Dilemma [w/Nelly]
Rowland, Kelly - Daylight [w/Travis McCoy]
Rowland, Kelly - Can't Nobody
Rowland, Kelly - Broken
Rowland, Kelly -  see also  Destiny's Child 
Rowles, Joan - If I Only Had Time
Roxanne - Real Roxanne, The [w/UTFO]
Roxette - Wish I Could Fly
Roxette - Sleeping in My Car
Roxette - She's Got Nothing on (But the Radio)
Roxette - Look, The
Roxette - Listen to Your Heart
Roxette - Joyride
Roxette - It Must Have Been Love
Roxette - I Wish I Could Fly
Roxette - How Do You Do
Roxette - Fading Like a Flower
Roxette - Dressed for Success
Roxette - Dangerous
Roxette - Church of Your Heart
Roxy Music - see  Ferry, Bryan & Roxy Music 
Roy C. - Shotgun Wedding
Roy, Lesley - I'm Gone, I'm Going
Roy, Lesley - Unbeautiful
Royal Crown Revue - Zip Gun Bop
Royal Crown Revue - Walkin Blues
Royal Crown Revue - Hey Pachuco
Royal Crown Revue - Beyond the Sea
Royal Guardsmen - Snoopy vs. the Red Baron
Royal Guardsmen - Snoopy's Christmas
Royal Teens - Short Shorts
Royal, Billy Joe - Tell It Like It Is
Royal, Billy Joe - Searchin' for Some Kind of Clue
Royal, Billy Joe - Out of Sight and on My Mind
Royal, Billy Joe - Love Has No Right
Royal, Billy Joe - I'm Okay and Gettin' Better
Royal, Billy Joe - Down in the Boondocks
Royal, Billy Joe - Cherry Hill Park
Royalle Delite - I'll Be a Freak for You
Roys, The - I Only Have Good Days
Roza, Lita - How Much Is That Doggie
Rozalla - Everybody's Free (to Feel Good)
RR&Q Band - Dreamer
Rubettes, The - Juke Box Jive
Rubettes, The - Sugar Baby Love
Rubio, Paulina - Sexi Dance
Rubio, Paulina - Si T
Rubio, Paulina - Tal Vez, Quiza
Rubio, Paulina - Te Quise Tanto
Rubio, Paulina - Todo Mi Amor
Rubio, Paulina - Y Yo Sigo Aqui
Rubio, Paulina - Yo No Soy Esa Mujer
Rubio, Paulina - One You Love, The
Rubio, Paulina - Mio
Rubio, Paulina - Lo Hare por Ti
Rubio, Paulina - Last Goodbye, The
Rubio, Paulina - I Was Made for Loving You
Rubio, Paulina - Fire
Rubio, Paulina - El Ultimo Adios
Rubio, Paulina - Don't Say Goodbye
Rubio, Paulina - Casanova
Rubio, Paulina - Baila Casanova
Ruby & the Romantics - Our Day Will Come
Ruby & the Romantics - Hey There Lonely Boy
Rubyhorse - Sparkle
Rucker, Darius - Wagon Wheel
Rucker, Darius - Together, Anything's Possible
Rucker, Darius - This
Rucker, Darius - Solitude [w/Edwin McCain]
Rucker, Darius - It Won't Be Like This for Long
Rucker, Darius - I Got Nothin'
Rucker, Darius - History in the Making
Rucker, Darius - Don't Think I Don't Think About It
Rucker, Darius - Alright
Rucker, Darius -  see also  Hootie & the Blowfish 
Rudimental - Waiting All Night [w/Ella Eyre]
Rudimental - Right Here [w/Rudimental]
Rudimental - Right Here [w/Foxes]
Rudimental - Not Giving in [ft. John Newman & Alex Clare]
Rudimental - Feel the Love [ft. John Newman]
Rudolf, Kevin - Let It Rock [w/Lil Wayne]
Rudolf, Kevin - Welcome to the World
Ruff Endz - Someone to Love You
Ruff Endz - No More
Ruffin, David - My Whole World Ended
Ruffin, David - Walk Away from Love
Ruffin, Jimmy - Farewell Is a Lonely Sound
Ruffin, Jimmy - Hold on to My Love
Ruffin, Jimmy - What Becomes of the Broken Hearted
Rufus - Tell Me Something Good [w/Chaka Khan]
Rufus - Sweet Thing [w/Chaka Khan]
Rufus - Night Time Is the Right Time [w/Carla Thomas]
Rufus - Ain't Nobody [w/Chaka Khan]
Ruiz, Rey - Ruiz, Rey - Muevelo
Ruiz, Rey - Muevelo
Ruiz, Rey - Mi Media Mitad
Ruiz, Rey - Desde Que No Estas
Ruiz, Rey - Creo en el Amor
Rumer - Am I Forgiven
Run DMC - You Be Illin'
Run DMC - Walk This Way [w/Aerosmith]
Run DMC - Song 4 Lovers [Run & Liberty X]
Run DMC - King of Rock
Run DMC - It's Tricky
Run DMC - It's Like That [Jason Nevins remix]
Run DMC - Christmas in Hollis
Rundgren, Todd - We Gotta Get You a Woman
Rundgren, Todd - I'm So Proud
Rundgren, Todd - I Saw the Light
Rundgren, Todd - Hello It's Me
Rundgren, Todd - Can We Still Be Friends
Rundgren, Todd - Bang the Drum All Day
Runga, Bic - Sway
RuPaul - Supermodel
Rupee - Tempted to Touch
Rush - Red Barchetta
Rush - Secret Touch
Rush - Spirit of Radio, The
Rush - Subdivisions
Rush - Tom Sawyer
Rush - Nobody's Hero
Rush - New World Man
Rush - Closer to the Heart
Rush - Cold Fire
Rush - Fly By Night
Rush - Freewill
Rush - Limelight
Rush of Fools - Never Far Away [w/Brickman, Jim]
Rush, Jennifer - Power of Love
Rush, Merilee - Angel of the Morning
Rushen, Patrice - Forget Me Nots
Rushlow - Sweet Summer Rain
Rushlow - I Can't Be Your Friend
Rushlow Harris - Bagpipes Cryin'
Rushlow, Tim - When You Love Me
Rushlow, Tim - She Misses Him
Rushlow, Tim - I Can't Be Your Friend
Rushlow, Tim - Crazy Life
Rushlow, Tim - Bagpipes Cryin' [Rushlow Harris]
Russell, Brenda - Piano in the Dark
Russell, Jenna - Red Dwarf
Russell, Johnny - Rednecks White Socks & Blue Ribbon Beer
Russell, Leon - Tight Rope
Russell, Leon - Six Pack to Go
Russell, Leon - Roll in My Sweet Baby's Arms
Russell, Leon - Lady Blue
Russell, Shawna - Waitin' on Sunrise
Ruttan, Deric - When You Come Around
Ryan, Barry - Eloise
Ryan, Kate - Desenchantee
Ryan, Lee - Army of Lovers
Ryan, Lee - When I Think of You
Rybak, Alexander - Fairytale
Rydell, Bobby - Wild One
Rydell, Bobby - Sway
Rydell, Bobby - Forget Him
Ryder, Mitch & the Detroit Wheels - Devil with a Blue Dress On
Ryder, Mitch & the Detroit Wheels - Sock It to Me
Ryder, Serena - Stompa
Rye Rye - After Party
RZA -  see also  Wu-Tang Clan 
RZA - Ich Kenne Nichts (das So Schon Ist Wie Du) [w/Xavier Naidoo]
Rzeznik, John -  see also  Goo Goo Dolls 
Rzeznik, John - I'm Still Here
